sweep	gR
280	-1.72693805E-001
281	-3.81014059E-001
282	-3.38702173E-001
283	-3.13122687E-001
284	-3.10155379E-001
285	-2.51597317E-001
286	-1.00313154E-001
287	8.93084366E-002
288	9.16081602E-002
289	1.19867953E-001
290	1.47096253E-001
291	9.03332024E-002
292	6.67847874E-002
293	4.63763863E-002
294	3.46904661E-002
295	9.28331195E-002
296	4.90625392E-002
297	1.04253858E-001
298	9.42862344E-002
299	1.00001660E-001
300	1.01641023E-001
301	1.43887157E-001
302	2.03550956E-001
303	2.08378991E-001
304	1.86264135E-001
305	1.47199917E-001
306	-1.04201982E-001
307	1.77906860E-001
308	1.61606958E-001
309	1.02427974E-001
310	-7.82067831E-002
311	-6.58112284E-002
312	1.99821699E-002
313	2.20073446E-001
314	2.85069398E-001
315	3.33205828E-002
316	8.82215678E-003
317	1.41633382E-001
318	7.98953848E-002
319	-4.43233745E-003
320	1.04521188E-001
321	5.74827684E-002
322	6.64540426E-002
323	7.35136601E-002
324	1.14381339E-001
325	9.86220939E-002
326	5.17258994E-002
327	1.03502875E-001
328	1.35341512E-002
329	-4.81544201E-002
330	7.08134268E-002
331	1.46489968E-002
332	5.71752370E-002
333	5.44106833E-002
334	6.92795528E-002
335	1.22545964E-001
336	1.68029018E-001
337	6.92638746E-002
338	1.52273404E-001
339	8.70132049E-002
340	2.12734797E-002
341	-9.98986276E-004
342	1.13050554E-001
343	1.03883170E-001
344	1.46306354E-001
345	1.64331506E-001
346	1.62643904E-001
347	1.54896756E-001
348	2.20386495E-001
349	1.60314729E-001
350	2.29994960E-003
351	1.52659968E-002
352	-6.34740875E-002
353	1.01256906E-002
354	5.65806733E-002
355	1.34830704E-002
356	1.75243230E-001
357	2.17984408E-001
358	1.90220615E-001
359	1.03906457E-001
360	2.31076361E-001
361	1.92810043E-001
362	1.26240707E-001
363	1.51645828E-001
364	1.19300257E-001
365	2.41747014E-001
366	1.59299234E-001
367	1.42952338E-001
368	1.37751599E-001
369	1.92416363E-002
370	3.25871464E-001
371	4.16650916E-001
372	1.79664310E-001
373	4.53843855E-001
374	9.44790317E-002
375	1.56256393E-001
376	1.45019844E-001
377	4.09531283E-001
378	2.72474269E-001
379	5.25652718E-002
380	1.27391392E-001
381	9.75098724E-003
382	3.17838934E-002
383	4.33159223E-002
384	3.15921424E-002
385	-1.29982275E-001
386	1.70352468E-002
387	3.94904263E-002
388	1.06364934E-001
389	1.60844324E-001
390	9.39768235E-002
391	1.27792040E-001
392	1.77783046E-001
393	1.42082157E-001
394	1.29543334E-001
395	2.03746691E-001
396	1.77425837E-001
397	1.26362806E-001
398	2.95928744E-001
399	9.65422687E-002
400	1.03082955E-001
401	1.11714509E-001
402	7.64231381E-002
403	1.59781946E-002
404	4.33674541E-002
405	2.18262374E-002
406	7.04684821E-002
407	8.72873767E-002
408	2.94869606E-002
409	8.13335299E-002
410	1.39641846E-001
411	2.21580894E-001
412	1.30913375E-001
413	4.14076157E-002
414	5.02144090E-002
415	1.75946783E-001
416	2.01784441E-001
417	2.87944992E-001
418	3.38732849E-001
419	2.08983283E-001
420	1.54015314E-001
421	2.85449135E-001
422	2.84081804E-001
423	2.36888667E-001
424	3.13753290E-001
425	2.68610516E-001
426	2.95986815E-001
427	3.31675107E-001
428	3.50140215E-001
429	2.88270096E-001
430	3.53245221E-001
431	3.74200354E-001
432	3.33898043E-001
433	2.38880437E-001
434	2.46720038E-001
435	2.97878392E-001
436	4.52903635E-002
437	1.18434762E-001
438	5.25653431E-002
439	9.93213247E-002
440	8.69737488E-002
441	1.37148534E-001
442	1.59933054E-001
443	5.08030771E-001
444	2.56167106E-001
445	1.98748919E-001
446	2.34036480E-001
447	2.78623623E-001
448	6.75061120E-003
449	5.74033988E-002
450	8.23673219E-002
451	2.82459573E-002
452	-1.95404599E-002
453	-4.41215766E-002
454	-4.26799762E-002
455	-1.82297203E-001
456	-3.35768754E-002
457	-4.61416594E-002
458	-1.32553746E-001
459	-2.24154108E-002
460	2.26534546E-001
461	3.18019338E-001
462	3.12909829E-001
463	1.99844884E-001
464	-2.76077510E-002
465	4.45883330E-002
466	8.78333361E-002
467	1.22452453E-001
468	1.90668837E-001
469	-3.74718395E-002
470	-7.68047296E-002
471	-8.50710789E-002
472	-9.48674081E-002
473	-3.88973698E-002
474	7.50796667E-002
475	-6.98639374E-002
476	-1.06199021E-001
477	-5.68780930E-002
478	-9.54570966E-002
479	-1.97968254E-001
480	-2.55934294E-002
481	1.02282809E-001
482	1.08788307E-001
483	1.17070142E-001
484	1.29062192E-001
485	5.57923729E-002
486	3.34533623E-002
487	-1.43558125E-001
488	-1.50640557E-001
489	-1.31560941E-001
490	-1.11550448E-001
491	-2.11997463E-002
492	-5.38714799E-002
493	1.58276299E-001
494	1.08613021E-001
495	2.02828490E-001
496	4.31408522E-002
497	-9.37821945E-002
498	1.24415208E-002
499	2.36751172E-002
500	1.63828481E-001
501	1.19150781E-001
502	1.17253238E-001
503	2.57882220E-001
504	7.18868824E-002
505	3.13948516E-002
506	5.86531606E-002
507	1.39188712E-002
508	-3.64981303E-003
509	1.21504944E-001
510	-3.27865571E-002
511	3.93916183E-002
512	1.36141908E-001
513	3.72844761E-004
514	6.24011256E-002
515	1.15785246E-001
516	8.74978921E-002
517	2.59059952E-001
518	2.25972674E-001
519	1.65318921E-001
520	1.83108746E-001
521	1.48562948E-001
522	1.64799709E-002
523	-1.69971651E-002
524	2.97429917E-001
525	2.60062192E-001
526	4.40341975E-002
527	8.68221686E-002
528	-4.77305074E-002
529	4.38286890E-002
530	2.12733977E-001
531	2.36198852E-001
532	3.06185913E-001
533	2.72066011E-001
534	2.18160198E-001
535	1.96886927E-001
536	1.36982133E-001
537	-2.29826062E-002
538	5.29845784E-002
539	-1.39947748E-002
540	1.92571725E-001
541	4.16899946E-002
542	6.25528294E-002
543	1.17055796E-002
544	2.18435408E-001
545	1.61738682E-001
546	-7.25315919E-002
547	-1.51027010E-001
548	1.02079958E-001
549	2.15597526E-001
550	9.73822302E-002
551	6.74397576E-002
552	1.87746990E-001
553	1.52716139E-001
554	1.84289092E-001
555	6.73952694E-002
556	8.82326803E-002
557	8.34495138E-002
558	-1.18057354E-001
559	-1.28462611E-001
560	-8.74675061E-002
561	-1.09106561E-001
562	-8.59782770E-002
563	-9.17860019E-002
564	-9.72977704E-002
565	-2.21964561E-001
566	-1.31005577E-001
567	4.18961762E-002
568	1.07154914E-001
569	-1.41064573E-001
570	-2.17187224E-001
571	-1.35002608E-001
572	4.48477671E-002
573	-1.98263209E-001
574	-3.01348656E-002
575	-1.42521701E-001
576	-9.91305217E-002
577	-1.86016264E-002
578	3.74916484E-003
579	-3.07245885E-002
580	6.98075659E-002
581	-5.87496851E-002
582	-1.87791540E-001
583	-1.58575252E-001
584	-1.18394423E-001
585	5.39065383E-003
586	2.53695830E-002
587	4.58862192E-002
588	1.13018018E-001
589	1.47899366E-001
590	7.29160329E-002
591	1.56257861E-001
592	1.37995402E-001
593	1.03389736E-001
594	1.40559518E-001
595	-9.22822757E-003
596	-7.84873497E-002
597	1.87060128E-001
598	5.36709857E-002
599	1.51377236E-001
600	-5.63214037E-002
601	-1.42674966E-002
602	9.17630869E-002
603	-7.58841476E-002
604	1.27555831E-003
605	4.29926686E-002
606	1.02232600E-001
607	5.47597823E-002
608	-1.22678491E-001
609	-8.01066735E-002
610	1.72811090E-002
611	3.99988872E-002
612	-1.33497169E-001
613	-1.78694049E-001
614	-2.55743126E-001
615	-2.40008399E-001
616	-1.21898115E-001
617	-6.84675458E-002
618	2.51753634E-002
619	1.42572977E-002
620	-2.17131517E-002
621	-1.36973637E-001
622	-1.28018366E-001
623	-2.43308984E-003
624	-7.32519655E-002
625	-1.86464974E-002
626	-4.33897272E-002
627	4.22336226E-002
628	-2.62861479E-001
629	-2.27735766E-001
630	-7.49535488E-002
631	-1.96777964E-002
632	5.47655521E-002
633	1.18274654E-001
634	5.30349578E-002
635	-4.33380572E-002
636	-8.90952108E-002
637	-3.16547088E-001
638	-2.88969303E-001
639	-3.13792879E-001
640	-2.92172512E-001
641	-2.77946013E-001
642	-1.27108767E-002
643	1.39457457E-001
644	1.40189396E-001
645	1.45725912E-001
646	1.06208991E-001
647	1.23033872E-001
648	1.84137324E-001
649	1.23815283E-001
650	2.03079581E-001
651	1.70848115E-001
652	2.05859292E-001
653	1.14114173E-001
654	2.21780731E-001
655	2.35321988E-001
656	2.63430200E-001
657	2.16857716E-001
658	1.82140005E-001
659	-2.38351201E-002
660	2.43674562E-002
661	1.94796092E-001
662	2.64937663E-001
663	2.27543520E-001
664	2.83833046E-001
665	9.71585989E-003
666	-5.51923113E-002
667	-8.83974533E-002
668	4.49359812E-002
669	6.31360718E-002
670	1.78465791E-001
671	8.50370039E-002
672	6.27005317E-002
673	2.70866910E-001
674	3.02881114E-001
675	4.01737470E-001
