chain	R2	Rg2
0	1873.650826	227.087439
1	849.695101	133.474279
2	2244.587168	306.385015
3	4368.603217	295.224155
4	4235.194100	307.971855
5	97.604109	120.704668
6	1670.424282	159.742045
7	1013.794192	146.052589
8	911.762665	165.837472
9	2164.751334	246.670004
10	1918.978513	297.338453
11	489.302649	157.364821
12	386.834312	177.835866
13	683.651142	175.273071
14	178.888835	175.876412
15	15365.295584	945.116727
16	1477.114322	197.372851
17	2754.522891	294.277298
18	219.693992	123.581975
19	708.482695	169.003670
