sweep	g_CM
1	0.00000000E+000
2	8.54077331E+001
3	1.07536445E+002
4	6.92672819E+001
5	1.39698703E+002
6	1.85613976E+002
7	2.86764296E+002
8	2.54025084E+002
9	2.57875012E+002
10	2.55908593E+002
11	3.12180902E+002
12	2.59384247E+002
13	2.65215087E+002
14	2.62381907E+002
15	3.04395999E+002
16	3.20906337E+002
17	3.33382271E+002
18	3.68804617E+002
19	3.69823406E+002
20	4.50473746E+002
21	2.97489743E+002
22	3.53738461E+002
23	4.97228908E+002
24	4.61213694E+002
25	4.61436100E+002
26	4.06152520E+002
27	4.13995997E+002
28	4.32477961E+002
29	4.22291847E+002
30	3.11325979E+002
31	3.28823510E+002
32	3.25053821E+002
33	4.38963081E+002
34	5.07361562E+002
35	5.08461816E+002
36	4.84538844E+002
37	5.00043411E+002
38	5.83525973E+002
39	6.05453307E+002
40	6.17933347E+002
41	6.02576704E+002
42	5.92531606E+002
43	5.44922459E+002
44	4.70794394E+002
45	5.46275015E+002
46	5.52022155E+002
47	5.20677609E+002
48	4.56324939E+002
49	4.22863657E+002
50	4.99386193E+002
51	5.12821365E+002
52	5.00938995E+002
53	5.36488050E+002
54	5.27386995E+002
55	5.82721494E+002
56	5.95550337E+002
57	6.21678590E+002
58	6.32559676E+002
59	6.64816941E+002
60	6.19914717E+002
61	6.13197871E+002
62	5.91038178E+002
63	5.54037509E+002
64	5.62761754E+002
65	5.65318192E+002
66	5.33708421E+002
67	5.03726410E+002
68	4.43192614E+002
69	4.32156220E+002
70	4.42598774E+002
71	4.75741620E+002
72	5.00160927E+002
73	5.83685811E+002
74	5.37766240E+002
75	5.23800767E+002
76	7.44319174E+002
77	7.22654113E+002
78	6.73047671E+002
79	6.74142781E+002
80	6.51529233E+002
81	6.25102178E+002
82	6.30004466E+002
83	6.85837981E+002
84	6.64525344E+002
85	6.57015176E+002
86	6.43499181E+002
87	6.40234627E+002
88	7.27000255E+002
89	7.63593199E+002
90	7.29393076E+002
91	7.97741160E+002
92	7.58279103E+002
93	7.37997207E+002
94	8.59230635E+002
95	8.44531509E+002
96	8.16385580E+002
97	6.40239835E+002
98	6.42011232E+002
99	6.05062621E+002
100	6.03418079E+002
101	6.28565225E+002
102	5.75330101E+002
103	5.98292961E+002
104	6.45286605E+002
105	6.58823948E+002
106	5.60351394E+002
107	5.84773586E+002
108	5.74589313E+002
109	5.41571044E+002
110	5.47611899E+002
111	5.70283306E+002
112	5.90097802E+002
113	5.12460728E+002
114	5.04409171E+002
115	5.12499422E+002
116	5.27952673E+002
117	6.05723579E+002
118	6.08963597E+002
119	6.26735174E+002
120	6.44635770E+002
121	6.36434547E+002
122	6.47354032E+002
123	6.46137663E+002
124	6.52801755E+002
125	6.76510459E+002
126	7.47068415E+002
127	7.41911279E+002
128	7.22002934E+002
129	7.59735338E+002
130	7.12252577E+002
131	6.79817078E+002
132	7.39221548E+002
133	7.39795175E+002
134	7.80726619E+002
135	7.19858211E+002
136	7.43890747E+002
137	7.53933020E+002
138	7.48538694E+002
139	6.26220508E+002
140	6.19753109E+002
141	6.31565659E+002
142	6.30953279E+002
143	7.11268413E+002
144	7.96249945E+002
145	7.64997428E+002
146	7.63814374E+002
147	7.83027197E+002
148	7.79477075E+002
149	7.75729070E+002
150	7.61063116E+002
151	7.79353003E+002
152	7.26127441E+002
153	7.10137965E+002
154	7.69047309E+002
155	7.78387598E+002
156	8.05723560E+002
157	8.16067236E+002
158	8.07310335E+002
159	7.23495341E+002
160	7.71272934E+002
161	7.49168255E+002
162	7.56274653E+002
163	8.32183548E+002
164	8.26605606E+002
165	9.73932869E+002
166	8.13497011E+002
167	7.72306148E+002
168	8.32795157E+002
169	8.07015607E+002
170	8.00974988E+002
171	7.49077254E+002
172	8.07286270E+002
173	8.17182270E+002
174	8.15741357E+002
175	8.08585483E+002
176	8.43559580E+002
177	8.07231866E+002
178	8.02765303E+002
179	7.63355205E+002
180	6.77824668E+002
181	6.60316262E+002
182	6.26012000E+002
183	6.95944044E+002
184	7.22649201E+002
185	8.14078925E+002
186	7.72748673E+002
187	7.37162205E+002
188	7.35091738E+002
189	6.61481877E+002
190	7.36721841E+002
191	7.66965813E+002
192	7.85535261E+002
193	7.51696235E+002
194	7.30866398E+002
195	7.20972624E+002
196	7.39621627E+002
197	7.58701920E+002
198	7.74190615E+002
199	7.82151798E+002
200	7.50119062E+002
201	8.01250591E+002
202	8.15287111E+002
203	8.11083173E+002
204	9.16005593E+002
205	8.39487186E+002
206	8.34849386E+002
207	7.03694849E+002
208	6.67295108E+002
209	7.59518127E+002
210	7.50692793E+002
211	7.40795079E+002
212	7.25855991E+002
213	7.62989499E+002
214	7.49446597E+002
215	9.15511532E+002
216	9.19490131E+002
217	9.07017293E+002
218	9.40606953E+002
219	9.97329439E+002
220	9.31268398E+002
221	9.24606815E+002
222	9.44648529E+002
223	8.91144732E+002
224	7.84775091E+002
225	7.76221831E+002
226	9.75414593E+002
227	9.60980271E+002
228	9.37718112E+002
229	8.24134740E+002
230	8.17181586E+002
231	8.93046446E+002
232	7.75280460E+002
233	7.92013943E+002
234	8.21457731E+002
235	8.32510889E+002
236	8.21791344E+002
237	8.30322912E+002
238	9.63007159E+002
239	1.02121060E+003
240	9.64102053E+002
241	9.25104979E+002
242	9.59646027E+002
243	9.45381691E+002
244	9.89724384E+002
245	9.76062496E+002
246	9.09215931E+002
247	8.92663753E+002
248	7.43335560E+002
249	7.83822697E+002
250	7.73282348E+002
251	8.34232250E+002
252	8.53264331E+002
253	7.69961900E+002
254	9.54616473E+002
255	1.04090568E+003
256	9.61242696E+002
257	9.42417654E+002
258	9.11729026E+002
259	8.88233699E+002
260	9.63675350E+002
261	9.59526477E+002
262	8.75760854E+002
263	8.71850848E+002
264	8.43593935E+002
265	8.98163914E+002
266	9.28174443E+002
267	8.31399518E+002
268	7.72766945E+002
269	8.30094602E+002
270	9.51551877E+002
271	8.44188776E+002
272	8.63505122E+002
273	9.63392689E+002
274	9.02655200E+002
275	9.68316019E+002
276	1.03772505E+003
277	1.04814055E+003
278	1.00029583E+003
279	1.01327205E+003
280	1.08008782E+003
281	1.10565749E+003
282	1.02763960E+003
283	9.92382461E+002
284	9.75985750E+002
285	9.32995757E+002
286	9.40174582E+002
287	1.05257447E+003
288	9.43054490E+002
289	9.82632757E+002
290	1.03758052E+003
291	1.00845246E+003
292	9.85784777E+002
293	1.00444893E+003
294	1.03272963E+003
295	1.01937159E+003
296	1.03809542E+003
297	1.01287677E+003
298	1.05112772E+003
299	1.08828978E+003
300	1.10792341E+003
301	1.13541664E+003
302	1.07821278E+003
303	1.09573424E+003
304	1.05145248E+003
305	1.09094501E+003
306	1.07788951E+003
307	1.06877103E+003
308	9.43058399E+002
309	9.68501310E+002
310	9.59481236E+002
311	9.44294680E+002
312	1.02279565E+003
313	1.00633812E+003
314	9.62197270E+002
315	8.96132773E+002
316	9.82072736E+002
317	1.04872179E+003
318	1.09269878E+003
319	1.16497859E+003
320	1.03656991E+003
321	1.00125840E+003
322	1.02045028E+003
323	1.25151831E+003
324	1.10673102E+003
325	1.12589978E+003
326	1.16294147E+003
327	1.13086087E+003
328	1.29090869E+003
329	1.32343668E+003
330	1.28674944E+003
331	1.28114022E+003
332	1.14788199E+003
333	1.15808223E+003
334	1.20818425E+003
335	1.32717489E+003
336	1.23453224E+003
337	1.15480494E+003
338	1.04208375E+003
339	1.13528953E+003
340	1.18749790E+003
341	1.29387142E+003
342	1.27960945E+003
343	1.27988482E+003
344	1.26137061E+003
345	1.34472439E+003
346	1.31093157E+003
347	1.34114899E+003
348	1.37196068E+003
349	1.10725603E+003
350	1.23060203E+003
351	1.17399900E+003
352	1.24994059E+003
353	1.26401538E+003
354	1.30886625E+003
355	1.09448455E+003
356	1.06250730E+003
357	1.04714785E+003
358	1.08322386E+003
359	1.00531916E+003
360	1.00677210E+003
361	9.52225247E+002
362	9.80791729E+002
363	9.62991298E+002
364	1.05826057E+003
365	8.33597927E+002
366	7.96621325E+002
367	9.06460759E+002
368	8.84604156E+002
369	9.31564058E+002
370	9.68128946E+002
371	9.34988874E+002
372	1.06623958E+003
373	1.01035710E+003
374	1.10657049E+003
375	1.05682060E+003
376	1.05192991E+003
377	1.01616632E+003
378	1.05657993E+003
379	1.31509186E+003
380	1.29999479E+003
381	1.24991061E+003
382	1.25987858E+003
383	1.16883120E+003
384	1.22836570E+003
385	1.12038981E+003
386	1.04209997E+003
387	1.19096374E+003
388	1.08133288E+003
389	1.07526771E+003
390	1.06565428E+003
391	1.11094747E+003
392	1.09093916E+003
393	1.05998473E+003
394	9.82472761E+002
395	9.36446116E+002
396	1.11658976E+003
397	1.11129765E+003
398	1.21182937E+003
399	1.24513877E+003
400	1.12643685E+003
401	1.09748957E+003
402	1.20118148E+003
403	1.22333727E+003
404	1.16727603E+003
405	1.03161094E+003
406	1.11834701E+003
407	1.13354997E+003
408	1.31846350E+003
409	1.41877128E+003
410	1.35192966E+003
411	1.29714783E+003
412	1.18759493E+003
413	1.19699739E+003
414	1.23038112E+003
415	1.13750376E+003
416	1.16644168E+003
417	1.18475732E+003
418	1.09470117E+003
419	1.20345710E+003
420	1.19809686E+003
421	1.24863781E+003
422	1.33962632E+003
423	1.25544181E+003
424	1.32676884E+003
425	1.20409452E+003
426	1.19047223E+003
427	1.21246472E+003
428	1.24011079E+003
429	1.30220359E+003
430	1.11107269E+003
431	1.19885716E+003
432	1.40551579E+003
433	1.48546978E+003
434	1.35428746E+003
435	1.33934929E+003
436	1.54635210E+003
437	1.48179881E+003
438	1.45651344E+003
439	1.38581561E+003
440	1.33397141E+003
441	1.28932394E+003
442	1.22881621E+003
443	1.16832889E+003
444	1.32448761E+003
445	1.33055105E+003
446	1.29102210E+003
447	1.40341740E+003
448	1.37633326E+003
449	1.43866969E+003
450	1.42694770E+003
451	1.42118238E+003
452	1.43166205E+003
453	1.29191640E+003
454	1.42103765E+003
455	1.48014078E+003
456	1.34838738E+003
457	1.31607150E+003
458	1.30749509E+003
459	1.34819012E+003
460	1.37716556E+003
