sweep	g1
1	0.00000000E+000
2	9.17138501E+001
3	1.09828277E+002
4	1.23178023E+002
5	2.47958626E+002
6	2.80214309E+002
7	4.89463833E+002
8	4.72290630E+002
9	7.58965673E+002
10	7.62657600E+002
11	8.92788670E+002
12	7.93130631E+002
13	8.36502439E+002
14	7.32416595E+002
15	8.32288717E+002
16	7.91142638E+002
17	1.10728966E+003
18	1.17745849E+003
19	1.27805486E+003
20	1.35220162E+003
21	1.20017805E+003
22	1.25150211E+003
23	1.39161754E+003
24	1.35798097E+003
25	1.02063359E+003
26	1.37305008E+003
27	9.69561305E+002
28	1.07712371E+003
29	1.07241825E+003
30	9.11706278E+002
31	9.43479329E+002
32	9.98769171E+002
33	1.11461663E+003
34	1.14098513E+003
35	1.16825044E+003
36	1.20288463E+003
37	1.23937145E+003
38	1.34211542E+003
39	1.36670226E+003
40	1.51367589E+003
41	1.36255245E+003
42	1.27368993E+003
43	1.26470451E+003
44	1.15811720E+003
45	1.19279563E+003
46	1.20284136E+003
47	1.11485808E+003
48	1.03920243E+003
49	1.06041567E+003
50	1.51798482E+003
51	1.53620649E+003
52	1.47022223E+003
53	1.69386892E+003
54	1.65676435E+003
55	1.70349310E+003
56	1.75559281E+003
57	1.76007143E+003
58	1.79987909E+003
59	1.81998626E+003
60	1.76411061E+003
61	1.77340446E+003
62	1.75407690E+003
63	1.66927313E+003
64	1.71779960E+003
65	1.74765335E+003
66	1.69752605E+003
67	1.73802726E+003
68	1.45358517E+003
69	1.40462709E+003
70	1.38995850E+003
71	1.42341701E+003
72	1.43705398E+003
73	2.04390501E+003
74	1.63270508E+003
75	1.60306571E+003
76	1.90731018E+003
77	1.87405206E+003
78	1.81225956E+003
79	1.83633147E+003
80	1.83167455E+003
81	1.67565306E+003
82	1.78070922E+003
83	1.84623577E+003
84	1.84356402E+003
85	1.82882725E+003
86	1.75305004E+003
87	1.81188028E+003
88	1.93357706E+003
89	1.82108568E+003
90	1.81193876E+003
91	1.87688570E+003
92	1.76206306E+003
93	1.80993355E+003
94	1.96034522E+003
95	1.85453658E+003
96	1.84029709E+003
97	1.78787580E+003
98	1.79346351E+003
99	1.97003417E+003
100	1.98829088E+003
101	1.99392560E+003
102	1.93896087E+003
103	1.97233535E+003
104	2.14478099E+003
105	2.14444460E+003
106	2.02794409E+003
107	2.02398213E+003
108	2.05636651E+003
109	1.98735235E+003
110	1.70885861E+003
111	1.69219349E+003
112	1.70956378E+003
113	1.47708162E+003
114	1.73103525E+003
115	1.74625672E+003
116	1.74942520E+003
117	1.81798111E+003
118	1.82360057E+003
119	1.70811126E+003
120	1.76935170E+003
121	1.72997266E+003
122	1.70318141E+003
123	1.68277446E+003
124	1.65893829E+003
125	1.66032580E+003
126	1.75990018E+003
127	2.00892587E+003
128	1.97691981E+003
129	2.03187135E+003
130	1.99833089E+003
131	1.97898594E+003
132	1.94676168E+003
133	1.97165918E+003
134	2.09492699E+003
135	1.81591245E+003
136	1.88929384E+003
137	1.88788215E+003
138	1.84407315E+003
139	1.69939016E+003
140	1.73933104E+003
141	1.73459606E+003
142	2.05416821E+003
143	2.08447952E+003
144	2.29822021E+003
145	2.43251297E+003
146	2.43238806E+003
147	2.42094596E+003
148	2.28603949E+003
149	2.28396697E+003
150	2.28723213E+003
151	2.39907750E+003
152	2.65804834E+003
153	2.65167010E+003
154	2.73708686E+003
155	2.97415666E+003
156	3.16584720E+003
157	2.70654857E+003
158	2.83085284E+003
159	2.98529129E+003
160	2.57083631E+003
161	2.55663446E+003
162	2.54543773E+003
163	2.65345591E+003
164	2.67436693E+003
165	2.92248083E+003
166	2.81910950E+003
167	2.53429667E+003
168	2.69893578E+003
169	2.43792518E+003
170	2.42574916E+003
171	2.61190197E+003
172	2.71420375E+003
173	2.71411569E+003
174	2.73906784E+003
175	2.76216436E+003
176	2.46798478E+003
177	2.44884805E+003
178	2.43517010E+003
179	2.06997169E+003
180	1.98340779E+003
181	1.96325176E+003
182	1.93788820E+003
183	2.05186294E+003
184	2.03037929E+003
185	1.72899244E+003
186	1.68950612E+003
187	1.67551441E+003
188	1.78021098E+003
189	1.69956607E+003
190	1.76494176E+003
191	1.73528703E+003
192	1.71500582E+003
193	1.66469870E+003
194	1.64934349E+003
195	1.68505133E+003
196	1.68591582E+003
197	1.68560766E+003
198	1.77236785E+003
199	1.97008716E+003
200	2.15903490E+003
201	2.14834228E+003
202	2.11391797E+003
203	2.38197489E+003
204	2.47971589E+003
205	2.06142161E+003
206	2.07273792E+003
207	1.50713557E+003
208	1.53637247E+003
209	2.02270046E+003
210	2.03298750E+003
211	1.70247451E+003
212	1.75941885E+003
213	1.82047830E+003
214	1.84232896E+003
215	2.00856773E+003
216	1.93410795E+003
217	1.95576137E+003
218	2.01727365E+003
219	2.07649287E+003
220	2.21457827E+003
221	2.21701018E+003
222	2.22061881E+003
223	2.20745466E+003
224	2.14058083E+003
225	2.10426396E+003
226	2.41538236E+003
227	2.26621882E+003
228	2.05256931E+003
229	1.99601051E+003
230	1.94363848E+003
231	1.90317029E+003
232	1.77234980E+003
233	1.90112654E+003
234	1.82377939E+003
235	1.96428202E+003
236	1.92648477E+003
