sweep	g_CM
1	0.00000000E+000
2	3.57147658E+001
3	5.08776365E+001
4	7.87379797E+001
5	8.74505216E+001
6	9.36783519E+001
7	7.05832808E+001
8	8.68782721E+001
9	8.88454795E+001
10	9.74377069E+001
11	1.01844543E+002
12	1.04545442E+002
13	1.07100292E+002
14	9.63615773E+001
15	1.00682130E+002
16	1.03873344E+002
17	1.08580491E+002
18	9.96294883E+001
19	9.54638877E+001
20	1.07151838E+002
21	1.16993412E+002
22	1.25215822E+002
23	1.21413675E+002
24	1.25240398E+002
25	1.05471417E+002
26	1.02146950E+002
27	1.27655502E+002
28	1.18828906E+002
29	1.56306858E+002
30	1.36632615E+002
31	1.64689855E+002
32	1.85444520E+002
33	1.98087316E+002
34	1.94130533E+002
35	1.90976830E+002
36	1.95483736E+002
37	1.71318233E+002
38	1.77259579E+002
39	1.75093271E+002
40	1.87012997E+002
41	2.05960734E+002
42	1.90943228E+002
43	1.82728356E+002
44	2.13063329E+002
45	1.69194960E+002
46	1.80829241E+002
47	1.89186925E+002
48	2.02957711E+002
49	1.79741584E+002
50	1.68768589E+002
51	1.44260390E+002
52	1.64098572E+002
53	1.52139411E+002
54	1.74978759E+002
55	1.74037278E+002
56	1.90116371E+002
57	1.74266799E+002
58	1.61276706E+002
59	1.70861871E+002
60	1.55873403E+002
61	1.48280872E+002
62	1.34354039E+002
63	1.38028589E+002
64	1.13566523E+002
65	1.43317738E+002
66	1.30883481E+002
67	1.17894517E+002
68	1.18813959E+002
69	1.29334149E+002
70	1.70285590E+002
71	1.70669861E+002
72	1.55787671E+002
73	1.72968759E+002
74	1.67623547E+002
75	1.30420189E+002
76	1.56549226E+002
77	1.76716757E+002
78	1.43300596E+002
79	1.28029527E+002
80	1.45889427E+002
81	1.33895133E+002
82	1.30940958E+002
83	1.52753828E+002
84	1.56053332E+002
85	1.58371894E+002
86	1.64469065E+002
87	1.71235991E+002
88	1.60228027E+002
89	1.88650716E+002
90	1.94274359E+002
91	1.79273899E+002
92	1.72325368E+002
93	1.93726719E+002
94	1.88042274E+002
95	1.78217028E+002
96	1.87895157E+002
97	1.72583373E+002
98	1.72301404E+002
99	2.11133797E+002
100	1.77593032E+002
101	1.84284483E+002
102	2.16243394E+002
103	2.00691667E+002
104	2.17718115E+002
105	2.00670805E+002
106	1.91215389E+002
107	1.86530584E+002
108	2.10215053E+002
109	2.43067669E+002
110	2.19039200E+002
111	2.67206343E+002
112	2.55585300E+002
113	2.86828154E+002
114	2.65613899E+002
115	2.40167365E+002
116	2.26286666E+002
117	2.40502502E+002
118	2.11035902E+002
119	2.04886744E+002
120	2.06314831E+002
121	2.48907836E+002
122	2.22762644E+002
123	2.10338882E+002
124	2.35723364E+002
125	2.23792774E+002
126	2.38345724E+002
127	2.14312376E+002
128	2.58801096E+002
129	2.47926669E+002
130	2.44523536E+002
131	2.76153081E+002
