chain	R2	Rg2
0	4367.953050	740.964161
1	5908.082528	738.395395
2	2055.501007	332.791538
3	7863.931671	657.027455
4	1353.133128	451.621660
5	4163.288270	511.701164
6	6861.633055	795.993918
7	6082.595230	701.503787
8	3423.926231	520.895172
9	327.752924	376.911331
10	3163.603062	541.473449
11	1494.110157	482.081675
12	6555.732777	956.991505
13	4873.505124	1055.141410
14	1201.706040	459.909885
15	5483.839639	579.647860
16	13583.104515	1050.723878
17	4825.760241	602.148725
18	9811.988033	804.242259
19	3726.652448	341.147322
