sweep	gR
1	1.00000000E+000
2	8.26168065E-001
3	7.33504037E-001
4	7.55130166E-001
5	7.98260181E-001
6	6.95830779E-001
7	7.68184906E-001
8	6.46915571E-001
9	6.91282617E-001
10	7.54865911E-001
11	6.57904966E-001
12	6.33449134E-001
13	6.48105592E-001
14	5.75737482E-001
15	6.55636394E-001
16	6.86381197E-001
17	7.25901367E-001
18	7.86905668E-001
19	7.35891221E-001
20	6.65637034E-001
21	6.29995382E-001
22	5.32429104E-001
23	5.59528959E-001
24	5.59029782E-001
25	6.75399926E-001
26	5.94803237E-001
27	6.87383671E-001
28	6.41855420E-001
29	5.79682455E-001
30	6.15270803E-001
31	7.15993048E-001
32	6.12596190E-001
33	5.71084591E-001
34	5.01524689E-001
35	5.51087548E-001
36	5.78522305E-001
37	5.25371255E-001
38	5.00690093E-001
39	5.40839360E-001
40	5.96413839E-001
41	5.11891377E-001
42	5.53722879E-001
43	5.21110625E-001
44	4.52578469E-001
45	5.61623215E-001
46	4.38296488E-001
47	4.41176999E-001
48	5.06944957E-001
49	4.44976213E-001
50	4.13519167E-001
51	5.35439624E-001
52	5.75373714E-001
53	6.61419896E-001
54	5.51512322E-001
55	7.12996518E-001
56	6.74422035E-001
57	4.89749807E-001
58	5.13631492E-001
59	4.98388947E-001
60	6.59508391E-001
61	6.04983731E-001
62	5.85491650E-001
63	6.87299750E-001
64	5.77538319E-001
65	6.21535270E-001
66	6.81420299E-001
67	6.10979458E-001
68	5.37472239E-001
69	5.45855795E-001
70	4.68293526E-001
71	7.57806824E-001
72	7.11595095E-001
73	6.29606873E-001
74	6.05933267E-001
75	6.36004852E-001
76	7.05537031E-001
77	7.11578088E-001
78	6.12757933E-001
79	5.74494772E-001
80	5.67706502E-001
81	6.03713444E-001
82	5.37374691E-001
83	5.27172018E-001
84	5.72691476E-001
85	7.03665639E-001
86	6.36107913E-001
87	6.86121336E-001
88	6.00723182E-001
89	6.38669925E-001
90	6.51446537E-001
91	6.20641222E-001
92	5.22019082E-001
93	4.47431102E-001
94	5.42082222E-001
95	5.29694390E-001
96	6.19823694E-001
97	5.94648386E-001
98	7.20497075E-001
99	6.15600903E-001
100	5.94031257E-001
101	5.80704146E-001
102	5.54035040E-001
103	5.57372178E-001
104	6.78787773E-001
105	7.07456685E-001
106	7.02244806E-001
107	6.79286363E-001
108	5.53950938E-001
109	6.42959211E-001
110	5.31030325E-001
111	4.22469211E-001
112	5.75049004E-001
113	7.34166859E-001
114	6.68282286E-001
115	6.30632451E-001
116	5.94379819E-001
117	5.95629761E-001
118	5.70771173E-001
119	6.56622131E-001
120	6.45002377E-001
121	6.06012164E-001
122	5.77442384E-001
123	6.04957021E-001
124	5.38889200E-001
125	5.06731811E-001
126	5.83687901E-001
127	6.66987568E-001
128	6.30710393E-001
129	6.17216862E-001
130	5.58057999E-001
131	6.44375343E-001
132	5.59291807E-001
133	5.43291794E-001
134	4.67556167E-001
135	5.22390625E-001
136	4.59234637E-001
137	5.27021116E-001
138	5.01952706E-001
139	5.03663153E-001
140	4.96057730E-001
141	4.94329397E-001
142	4.85942086E-001
143	5.28247459E-001
144	5.47256312E-001
145	4.93988695E-001
146	3.97771675E-001
147	5.02147576E-001
148	6.72670685E-001
149	6.51347973E-001
150	5.92568433E-001
151	6.13889777E-001
152	5.87516770E-001
153	5.07357061E-001
154	6.67521414E-001
155	6.53984949E-001
156	4.84567834E-001
157	4.73740790E-001
158	4.16975647E-001
159	4.97308621E-001
160	5.12672384E-001
161	5.01411479E-001
162	5.63144915E-001
163	5.97247701E-001
164	6.08276241E-001
165	5.52818261E-001
166	6.11485604E-001
167	5.69341696E-001
168	6.34734149E-001
169	6.45061322E-001
170	5.63601130E-001
171	5.93490654E-001
172	4.06221677E-001
173	5.17183325E-001
174	4.44297521E-001
175	5.04833082E-001
176	4.74706204E-001
177	5.50992195E-001
178	5.90088060E-001
179	5.58972233E-001
180	4.92055349E-001
181	5.01913886E-001
182	5.47606206E-001
183	5.79571330E-001
184	4.53296426E-001
185	4.41648053E-001
186	5.08238644E-001
187	4.90333268E-001
188	5.54744637E-001
189	5.25535680E-001
190	4.43700475E-001
191	4.03063903E-001
192	3.75523006E-001
193	4.08232465E-001
194	5.52733445E-001
195	5.15041870E-001
196	6.32250464E-001
197	5.52362476E-001
198	5.28393085E-001
199	5.68628885E-001
200	5.69999726E-001
201	5.38587203E-001
202	5.40514392E-001
203	5.14671361E-001
204	5.50640651E-001
205	5.57936805E-001
206	4.15683420E-001
207	4.45094207E-001
208	5.85364499E-001
209	5.01050494E-001
210	4.71168288E-001
211	4.63609423E-001
212	5.27133694E-001
213	5.67019567E-001
214	5.02423759E-001
215	5.81927252E-001
216	6.52721061E-001
217	5.29698921E-001
218	4.53512905E-001
219	4.53542091E-001
220	4.59029072E-001
221	4.48031534E-001
222	4.45485596E-001
223	4.90098460E-001
224	5.12001312E-001
225	5.48362100E-001
226	5.33076053E-001
227	4.76700179E-001
228	4.53787096E-001
229	4.65489899E-001
230	4.67307571E-001
231	4.13790910E-001
232	4.69142917E-001
233	3.87737645E-001
234	3.84628804E-001
235	3.90667893E-001
236	3.99487232E-001
237	3.97821905E-001
238	5.31986176E-001
239	4.45251403E-001
240	4.24623169E-001
241	4.77267249E-001
242	5.23950064E-001
243	3.43495557E-001
244	3.53399647E-001
245	4.05486186E-001
246	4.15048221E-001
247	4.11115378E-001
248	3.35347491E-001
249	4.59466221E-001
250	4.20833766E-001
251	5.10237151E-001
252	5.04300418E-001
253	5.88165093E-001
254	5.32030042E-001
255	4.47223222E-001
256	4.89115874E-001
257	5.29388688E-001
258	5.43366343E-001
259	5.11202313E-001
260	4.91022317E-001
261	5.67774567E-001
262	5.12786238E-001
263	6.53265666E-001
264	6.61556678E-001
265	6.45471313E-001
266	5.77475562E-001
267	3.45687583E-001
268	4.15555963E-001
269	5.33067050E-001
270	5.26165518E-001
271	4.85206045E-001
272	6.19254669E-001
273	6.36142741E-001
274	6.17287979E-001
275	6.01921840E-001
276	6.76845554E-001
277	6.36031777E-001
278	6.26699658E-001
279	6.60474407E-001
280	6.89924872E-001
281	5.86957360E-001
282	5.50701821E-001
283	6.07338427E-001
284	6.53901093E-001
285	7.10877155E-001
286	5.10732765E-001
287	5.17993388E-001
288	4.97714869E-001
289	5.06594853E-001
290	5.68000677E-001
291	5.18484476E-001
292	4.70834737E-001
293	3.81406662E-001
294	4.82067942E-001
295	4.49027293E-001
296	4.35885318E-001
297	6.61638707E-001
298	5.09294653E-001
299	5.13885391E-001
300	5.91728480E-001
301	5.52347414E-001
302	4.81591728E-001
303	5.31181903E-001
304	4.68921370E-001
305	4.76600342E-001
306	5.08905129E-001
307	5.11368084E-001
308	4.94069662E-001
309	4.98297146E-001
310	4.11000650E-001
311	4.59385088E-001
312	4.89255360E-001
313	4.86494557E-001
314	4.10210248E-001
315	5.04540666E-001
316	5.49978273E-001
317	4.89990064E-001
318	5.58940884E-001
319	6.23145497E-001
320	5.66765253E-001
321	5.14525285E-001
322	4.47158732E-001
323	4.57489704E-001
324	4.79835199E-001
325	6.19620936E-001
326	6.04272892E-001
327	5.68467304E-001
328	3.81028191E-001
329	3.13278559E-001
330	3.29029023E-001
331	3.69153438E-001
332	2.69138885E-001
333	3.65556279E-001
334	4.26117033E-001
335	3.86433008E-001
336	4.01125768E-001
337	5.13254611E-001
338	4.07363799E-001
339	4.23321220E-001
340	4.67672880E-001
341	4.12234839E-001
342	4.15649893E-001
343	5.11423935E-001
344	5.12739021E-001
345	4.77269736E-001
346	5.30425419E-001
347	5.70796376E-001
348	5.80030196E-001
349	5.48740257E-001
350	4.58184660E-001
351	4.28700212E-001
352	4.20033066E-001
353	4.71714841E-001
354	4.76642834E-001
355	4.19410933E-001
356	4.16229460E-001
357	3.77722405E-001
358	4.07182762E-001
359	3.16924232E-001
360	3.76840149E-001
361	3.73493722E-001
362	3.86682451E-001
363	4.13807973E-001
364	4.59865529E-001
365	5.42178970E-001
366	5.59827519E-001
367	5.38774919E-001
368	4.58845415E-001
369	4.94242358E-001
370	4.14469488E-001
371	3.56457366E-001
372	3.54050049E-001
373	4.29558400E-001
374	3.54809898E-001
375	3.15717985E-001
376	2.85876881E-001
377	2.82969245E-001
378	3.52824099E-001
379	3.01393242E-001
380	2.85377217E-001
381	3.47828699E-001
382	4.43134603E-001
383	2.96895786E-001
384	2.87936142E-001
385	3.99098989E-001
386	4.16546198E-001
387	4.32263926E-001
388	3.84928735E-001
389	4.78124954E-001
390	4.27932063E-001
391	4.33274491E-001
392	4.68550678E-001
393	4.92156817E-001
394	4.11585837E-001
395	3.26508217E-001
396	4.08727759E-001
397	3.54402693E-001
398	4.24712090E-001
399	3.44415828E-001
400	3.89497933E-001
401	4.54828013E-001
402	4.15377877E-001
403	4.75132661E-001
404	4.06563072E-001
405	3.30778433E-001
406	3.18476156E-001
407	3.51487363E-001
408	2.43520678E-001
409	3.58256200E-001
410	3.50256582E-001
411	3.11952296E-001
412	3.66313107E-001
413	3.25344766E-001
414	3.54900541E-001
415	2.90137663E-001
416	4.18072071E-001
417	3.51671698E-001
418	4.38100899E-001
419	4.23429176E-001
420	3.77823680E-001
421	3.13080806E-001
422	2.79149423E-001
423	3.49223584E-001
424	3.66748859E-001
425	3.87449229E-001
426	4.16585123E-001
427	3.01787626E-001
428	4.40012356E-001
429	4.51703387E-001
430	4.52385368E-001
431	4.09147852E-001
432	3.88976874E-001
433	3.64025553E-001
434	3.43966198E-001
435	2.48282462E-001
436	2.23378827E-001
437	2.36129536E-001
438	2.43458664E-001
439	3.34486371E-001
440	3.88359150E-001
441	3.38393488E-001
442	3.38062779E-001
443	3.17830671E-001
444	4.09610764E-001
445	3.51620049E-001
446	2.41571466E-001
447	2.59873626E-001
448	1.60229359E-001
449	1.65357140E-001
450	2.41527705E-001
451	1.89837528E-001
452	1.83113338E-001
453	1.48255200E-001
454	1.90710951E-001
455	1.83029598E-001
456	2.13326822E-001
457	2.01453323E-001
458	3.10753186E-001
459	2.49560988E-001
460	2.55087120E-001
461	2.22475293E-001
462	1.99061145E-001
463	1.84572499E-001
464	1.64726844E-001
465	2.25886600E-001
466	2.40061675E-001
467	3.53270369E-001
468	2.62853248E-001
469	2.67220539E-001
470	2.62541438E-001
471	2.78980319E-001
472	3.64547228E-001
473	3.36972072E-001
474	3.24727000E-001
475	2.38606074E-001
476	1.37510357E-001
477	1.80721013E-001
478	1.99289130E-001
479	1.59468183E-001
480	3.48946010E-001
481	2.98298846E-001
482	2.77060268E-001
483	2.55660056E-001
484	3.34239884E-001
485	2.87415640E-001
486	2.67796009E-001
487	1.61746287E-001
488	1.16267568E-001
489	1.49423102E-001
490	1.94736579E-001
491	2.21141658E-001
492	1.45121941E-001
493	1.69177279E-001
494	1.73763502E-001
495	1.87909889E-001
496	2.89520302E-001
497	2.68421185E-001
498	2.20731293E-001
499	2.35473746E-001
500	1.99961053E-001
501	1.36503383E-001
502	1.30218730E-001
503	1.43337200E-001
504	1.25583062E-001
505	2.27675926E-001
506	2.20752969E-001
507	2.67698459E-001
508	2.10465144E-001
509	2.16438966E-001
510	1.88496524E-001
511	2.39955502E-001
512	2.43595235E-001
513	3.39543818E-001
514	2.87650375E-001
515	2.32402283E-001
516	2.91616743E-001
517	3.10032988E-001
518	2.83153460E-001
519	2.77628732E-001
520	2.69981801E-001
521	2.34493734E-001
522	1.27548608E-001
523	1.98252259E-001
524	1.87620419E-001
525	3.24964135E-001
526	2.69641048E-001
527	3.82559717E-001
528	3.80500414E-001
529	4.17280352E-001
530	4.04379609E-001
531	4.40098483E-001
532	4.76261172E-001
533	4.66399102E-001
534	3.94813666E-001
535	2.51787677E-001
536	3.56895619E-001
537	1.97675839E-001
538	2.33423967E-001
539	3.52166588E-001
540	3.09907237E-001
541	3.73056572E-001
542	3.16442755E-001
543	2.98744416E-001
544	3.06706420E-001
545	2.16895699E-001
546	2.48243841E-001
547	2.95846334E-001
548	2.45496299E-001
549	2.21184039E-001
550	2.99328324E-001
551	3.44807204E-001
552	2.82136811E-001
