sweep	g1
291	5.27193952E+002
292	5.02856014E+002
293	5.73929118E+002
294	5.63404694E+002
295	5.72355880E+002
296	5.42961198E+002
297	4.46035565E+002
298	4.76642419E+002
299	4.65339965E+002
300	4.89775570E+002
301	4.62178492E+002
302	3.72208252E+002
303	4.55930322E+002
304	4.81024313E+002
305	4.99958976E+002
306	4.55047782E+002
307	4.52763641E+002
308	4.68466552E+002
309	4.48293932E+002
310	4.58732468E+002
311	4.68513421E+002
312	4.34581631E+002
313	5.01004435E+002
314	5.02855209E+002
315	5.80647807E+002
316	5.62027635E+002
317	6.18914157E+002
318	6.09728478E+002
319	6.55122874E+002
320	6.37093681E+002
321	6.10931780E+002
322	5.58669125E+002
323	5.65637111E+002
324	6.07588872E+002
325	5.42644616E+002
326	5.29885525E+002
327	5.18048824E+002
328	5.06041101E+002
329	4.85853183E+002
330	5.28209674E+002
331	4.97425742E+002
332	5.19949397E+002
333	5.05411711E+002
334	5.65512526E+002
335	5.94618290E+002
336	5.93708150E+002
337	5.54587811E+002
338	5.55569100E+002
339	5.20917050E+002
340	5.49034486E+002
341	5.75886388E+002
342	5.78529159E+002
343	5.82324338E+002
344	6.02761126E+002
345	5.82197714E+002
346	6.15635849E+002
347	5.67359286E+002
348	5.64011976E+002
349	5.78420907E+002
350	5.92930373E+002
351	5.95403772E+002
352	6.00757654E+002
353	6.39109480E+002
354	6.54623427E+002
355	6.25883953E+002
356	6.29553698E+002
357	4.92030333E+002
358	5.23469992E+002
359	4.87312917E+002
360	5.26467532E+002
361	5.86329038E+002
362	5.86233112E+002
363	6.01533439E+002
364	5.74095569E+002
365	5.67122972E+002
366	6.30006080E+002
367	5.87480395E+002
368	5.61985487E+002
369	6.34163224E+002
370	6.29747840E+002
371	4.89823428E+002
372	5.13142080E+002
373	4.04122567E+002
374	4.36509787E+002
375	4.69563287E+002
376	4.60710405E+002
377	4.09162597E+002
378	4.17560372E+002
379	4.23020410E+002
380	4.19917212E+002
381	5.06588087E+002
382	4.76687773E+002
383	4.88010804E+002
384	5.99422619E+002
385	6.07386252E+002
386	5.94874972E+002
387	5.59433309E+002
388	5.22417683E+002
389	5.32164952E+002
390	5.43969808E+002
391	4.83201055E+002
392	4.56702434E+002
393	5.13628089E+002
394	5.06865614E+002
395	4.13207477E+002
396	4.73570985E+002
397	5.27645777E+002
398	5.45525680E+002
399	5.06627421E+002
400	4.96001477E+002
401	5.25362903E+002
402	5.31186362E+002
403	5.68235282E+002
404	5.58017841E+002
405	5.71200243E+002
406	5.97621855E+002
407	6.29974456E+002
408	6.01753475E+002
409	6.00840854E+002
410	5.98260165E+002
411	5.69861635E+002
412	5.41037690E+002
413	6.10263184E+002
414	5.34712794E+002
415	4.89309860E+002
416	5.06347847E+002
417	5.55585146E+002
418	5.48359597E+002
419	5.91077441E+002
420	6.10756915E+002
421	6.12380044E+002
422	6.37595154E+002
423	6.23202955E+002
424	6.45150296E+002
425	6.86154169E+002
426	6.09450126E+002
427	6.32508574E+002
428	5.94698850E+002
429	6.44136589E+002
430	6.42610877E+002
431	6.49319914E+002
432	6.17190631E+002
433	6.08508234E+002
434	6.45129526E+002
435	6.36235648E+002
436	6.43819037E+002
437	6.34364218E+002
438	6.34363246E+002
439	6.45685874E+002
440	6.29626143E+002
441	6.94631353E+002
442	7.09970044E+002
443	6.62225617E+002
444	6.59502074E+002
445	5.93589353E+002
446	5.86894488E+002
447	5.43405047E+002
448	5.86070120E+002
449	5.69287756E+002
450	5.97937736E+002
451	5.75673615E+002
452	5.86103676E+002
453	5.46073978E+002
454	5.03935620E+002
455	5.31261638E+002
456	5.76060727E+002
457	5.63115267E+002
458	5.56547193E+002
459	5.42504563E+002
460	4.98745603E+002
461	5.60080581E+002
462	4.91310660E+002
463	5.48766014E+002
464	5.63548893E+002
465	6.08347544E+002
466	5.83991649E+002
467	5.07378131E+002
468	4.65220130E+002
469	5.39832513E+002
470	5.13659584E+002
471	5.39953791E+002
472	5.35293873E+002
473	4.71992769E+002
474	4.79172778E+002
475	5.05655332E+002
476	6.26168340E+002
477	6.12903687E+002
478	6.53500175E+002
479	6.03235732E+002
480	6.14527358E+002
481	7.09062516E+002
482	7.59339041E+002
483	8.61512646E+002
484	7.73770293E+002
485	7.13748241E+002
486	7.63933166E+002
487	7.37168783E+002
488	6.82213379E+002
489	7.25005270E+002
490	6.56344653E+002
491	6.84588124E+002
492	7.10774737E+002
493	7.44404551E+002
494	6.91887651E+002
495	7.47047490E+002
496	7.41186990E+002
497	7.25700482E+002
498	7.34650279E+002
499	6.61497141E+002
500	6.73451752E+002
501	6.62257564E+002
502	7.40346166E+002
503	7.76872764E+002
504	7.51862463E+002
505	7.96455347E+002
506	8.30301686E+002
507	8.49225380E+002
508	8.43014141E+002
509	8.53514326E+002
510	6.70713608E+002
511	7.67951546E+002
512	7.77993657E+002
513	7.10269180E+002
514	6.43183900E+002
515	7.16842663E+002
516	6.60598320E+002
517	7.37767560E+002
518	7.73566041E+002
519	7.52951896E+002
520	8.45784667E+002
521	7.55180805E+002
522	7.65625002E+002
523	8.06409164E+002
524	7.75710310E+002
525	6.72799277E+002
526	7.30385467E+002
527	7.42329913E+002
528	8.20663140E+002
529	7.56837450E+002
530	7.92804968E+002
531	8.43076292E+002
532	8.22783695E+002
533	8.48953825E+002
534	7.98386309E+002
535	7.84926537E+002
536	7.91794583E+002
537	6.89434713E+002
538	6.93779041E+002
539	6.98470611E+002
540	6.77857624E+002
541	6.91337225E+002
542	7.33693946E+002
543	6.69972584E+002
544	6.31851478E+002
545	6.35097705E+002
546	6.74979920E+002
547	6.82736511E+002
548	6.00408232E+002
549	5.84275909E+002
550	5.98228928E+002
551	5.42472918E+002
552	8.38918916E+002
553	7.99977746E+002
554	7.56514093E+002
555	7.85345373E+002
556	8.23791939E+002
557	8.02110732E+002
558	6.96060900E+002
559	7.35588362E+002
560	9.06663831E+002
561	7.97509356E+002
562	8.02769271E+002
563	7.85335662E+002
564	7.75261296E+002
565	7.61152176E+002
566	7.16645174E+002
567	7.12147884E+002
568	7.22223664E+002
569	7.57808378E+002
570	7.87499717E+002
571	7.80433139E+002
572	6.67834080E+002
573	7.14953383E+002
574	6.77603106E+002
575	7.39622679E+002
576	8.18511480E+002
577	7.51515254E+002
578	6.90620127E+002
579	7.21595962E+002
580	7.23655191E+002
581	7.52709256E+002
582	7.04145425E+002
583	7.08915261E+002
584	7.28734350E+002
585	7.50742308E+002
586	7.81433303E+002
587	7.40190992E+002
588	7.69393729E+002
589	8.51108431E+002
590	7.43590556E+002
591	7.17360275E+002
