sweep	g_CM
1	0.00000000E+000
2	1.14006670E+001
3	3.17643325E+001
4	2.84362403E+001
5	3.28550514E+001
6	3.05222753E+001
7	2.61571978E+001
8	3.45676955E+001
9	3.08310736E+001
10	3.95821634E+001
11	4.06462044E+001
12	4.00242187E+001
13	4.82551561E+001
14	4.19376353E+001
15	4.60326946E+001
16	6.31722966E+001
17	4.59741111E+001
18	4.71874125E+001
19	4.89945407E+001
20	7.85967194E+001
21	7.26546404E+001
22	5.33122927E+001
23	4.74246951E+001
24	6.21566945E+001
25	6.45606486E+001
26	6.52207929E+001
27	8.84225907E+001
28	8.64078622E+001
29	9.37318042E+001
30	9.28597676E+001
31	1.11830905E+002
32	1.01548580E+002
33	1.10287914E+002
34	8.56560608E+001
35	9.70910811E+001
36	9.02238835E+001
37	9.95017409E+001
38	9.21368484E+001
39	7.65114591E+001
40	6.43824265E+001
41	6.56095211E+001
42	6.89724702E+001
43	9.32597349E+001
44	9.43956656E+001
45	7.72158570E+001
46	9.54474133E+001
47	9.37925347E+001
48	1.00043735E+002
49	9.92167997E+001
50	9.44935290E+001
51	9.70927711E+001
52	8.28216817E+001
53	8.25320815E+001
54	7.59245334E+001
55	8.48015259E+001
56	1.06460739E+002
57	1.10818855E+002
58	8.39195270E+001
59	1.19295992E+002
60	7.21230140E+001
61	7.53764162E+001
62	8.09873308E+001
63	8.05861359E+001
64	7.91749992E+001
65	8.85357904E+001
66	8.15084318E+001
67	7.17243219E+001
68	8.47566236E+001
69	9.12248185E+001
70	8.51016256E+001
71	8.48274918E+001
72	7.67311582E+001
73	8.71722845E+001
74	7.87211898E+001
75	8.52015884E+001
76	1.03124571E+002
77	8.41579162E+001
78	1.05132293E+002
79	1.07802124E+002
80	1.09001171E+002
81	9.98551486E+001
82	1.06203510E+002
83	1.13411268E+002
84	1.10757052E+002
85	9.65514036E+001
86	1.09431475E+002
87	1.38251565E+002
88	1.27026299E+002
89	1.15492622E+002
90	1.14140698E+002
91	1.36849844E+002
92	1.42024065E+002
93	1.25514443E+002
94	1.20724014E+002
95	1.28356555E+002
96	1.16554596E+002
97	1.30879719E+002
98	1.32757119E+002
99	1.22458308E+002
100	1.31863770E+002
101	1.24183530E+002
102	1.35060292E+002
103	1.31848680E+002
104	1.41831932E+002
105	1.53399262E+002
106	1.47423375E+002
107	1.72736070E+002
108	1.57592983E+002
109	1.93225625E+002
110	1.71466253E+002
111	1.73186580E+002
112	1.93155512E+002
113	1.73847702E+002
114	1.87346211E+002
115	2.14242079E+002
116	2.20024772E+002
117	2.09831751E+002
118	1.98521002E+002
119	1.83430764E+002
120	1.94062148E+002
121	1.76385713E+002
122	1.72166146E+002
123	1.52578985E+002
124	1.64004559E+002
125	1.77237413E+002
126	1.83501380E+002
127	1.67699384E+002
128	1.66070031E+002
129	1.62194553E+002
130	1.55494395E+002
131	1.39514525E+002
132	1.45591791E+002
133	1.51255616E+002
134	1.47201066E+002
135	1.34984143E+002
136	1.61149214E+002
137	1.31813898E+002
138	1.29321886E+002
139	1.23064527E+002
140	1.36219631E+002
141	1.51335667E+002
142	1.70149008E+002
143	1.61006415E+002
144	1.71750383E+002
145	1.68872446E+002
146	1.58283588E+002
147	1.54869017E+002
148	1.56698141E+002
149	1.54260349E+002
150	1.66862374E+002
151	1.70077772E+002
152	1.85393668E+002
153	1.86821078E+002
154	1.60199880E+002
155	1.80066745E+002
156	1.86473376E+002
157	1.65651099E+002
158	1.84096319E+002
159	1.83945209E+002
160	1.79389836E+002
161	1.96990290E+002
162	1.72640219E+002
163	1.70948366E+002
164	1.90588489E+002
165	1.80914674E+002
166	1.78322384E+002
167	1.85534429E+002
168	1.84494791E+002
169	1.93929851E+002
170	1.64727493E+002
171	1.53931765E+002
172	1.50430314E+002
173	1.68188390E+002
174	1.74224259E+002
175	1.58798600E+002
176	1.41952877E+002
177	1.62254029E+002
178	1.98166988E+002
179	1.95787492E+002
180	1.91732355E+002
181	1.96514519E+002
182	2.03538279E+002
183	2.04114019E+002
184	1.99630290E+002
185	1.70189415E+002
186	1.68003096E+002
187	1.61079064E+002
188	2.04950076E+002
189	1.73321169E+002
190	1.81982134E+002
191	1.90502611E+002
192	1.80297511E+002
193	1.75016073E+002
194	1.81978793E+002
195	1.66659365E+002
196	1.72957873E+002
197	2.04844458E+002
198	1.98581968E+002
199	1.87510905E+002
200	1.93646700E+002
201	1.86373758E+002
202	2.21979733E+002
203	2.11935587E+002
204	1.87906091E+002
205	2.13492148E+002
206	2.13267831E+002
207	1.96481253E+002
208	2.15236982E+002
209	2.00068362E+002
210	1.97566465E+002
211	2.05602013E+002
212	1.77097703E+002
213	1.66464587E+002
214	1.82258183E+002
215	1.59376801E+002
216	2.06857790E+002
217	1.83196667E+002
218	1.76620879E+002
219	1.68167064E+002
220	1.93179034E+002
221	2.02365076E+002
222	2.01963612E+002
223	1.83392775E+002
224	2.03745965E+002
225	2.02195267E+002
226	1.82198551E+002
227	1.91166964E+002
228	1.72784264E+002
229	1.81549348E+002
230	1.57734712E+002
231	1.43536998E+002
232	1.43569633E+002
233	1.50621001E+002
234	1.63016336E+002
235	2.00723895E+002
236	2.09699181E+002
237	1.92218275E+002
238	2.18241695E+002
239	2.14060157E+002
240	1.78497744E+002
241	2.04391768E+002
242	1.90235103E+002
243	1.64404587E+002
244	1.77567312E+002
245	1.70659574E+002
246	1.65975133E+002
247	1.87219149E+002
248	1.84945413E+002
249	2.02761603E+002
250	2.01998854E+002
251	2.15725929E+002
252	1.54672585E+002
253	1.48782653E+002
254	1.73431220E+002
255	1.81159067E+002
256	1.80096603E+002
257	1.60220706E+002
258	1.69562177E+002
259	1.62080294E+002
260	1.75167213E+002
261	1.77171621E+002
262	2.02595563E+002
263	1.94189168E+002
264	1.92257395E+002
265	2.05102868E+002
266	1.91288530E+002
267	1.85311440E+002
268	1.77504838E+002
269	2.20599590E+002
270	1.98570181E+002
271	1.93290615E+002
272	2.01138500E+002
273	1.82930067E+002
274	1.83649378E+002
275	1.94131677E+002
276	1.93079659E+002
277	1.98203435E+002
278	2.22747984E+002
279	1.85217346E+002
280	1.88878350E+002
281	1.92367335E+002
282	1.68952865E+002
283	1.64565511E+002
284	1.70512524E+002
285	1.94685871E+002
286	2.13369937E+002
287	2.06114881E+002
288	1.78833479E+002
289	1.93986971E+002
290	1.75577103E+002
291	1.81716872E+002
292	1.82731729E+002
293	2.07862855E+002
294	2.08446434E+002
295	2.16169087E+002
296	2.24533166E+002
297	2.22794632E+002
298	2.25226462E+002
299	1.95232786E+002
300	2.28157448E+002
301	2.30827398E+002
302	2.28943283E+002
303	2.53521093E+002
304	2.23361514E+002
305	2.35604563E+002
306	1.92738466E+002
307	2.23393391E+002
308	1.82976891E+002
309	2.14332706E+002
310	2.23202429E+002
311	2.43277138E+002
312	2.41620440E+002
313	2.38637221E+002
314	2.42344585E+002
315	2.36452190E+002
316	2.43403671E+002
317	2.26514808E+002
318	2.17633636E+002
319	1.98583023E+002
320	1.92599715E+002
321	1.95648014E+002
322	1.81875353E+002
