chain	R2	Rg2
0	8600.355290	1196.537305
1	10685.425671	1413.406938
2	2599.547453	542.139745
3	2580.164288	1149.899409
4	4080.965911	770.496049
5	16971.193854	1576.480931
6	12481.960311	1367.459893
7	2701.819966	652.081269
8	15082.091871	1877.594412
9	4393.175483	560.486250
10	6466.972611	786.848663
11	3693.431107	858.292022
12	4144.731452	622.646017
13	2512.635999	1071.773592
14	7571.438019	889.450127
15	1275.669827	654.477605
16	543.696384	447.774683
17	3726.948846	1248.780455
18	3721.444612	998.657907
19	3372.683694	821.059155
