sweep	gR
1	1.00000000E+000
2	8.69687724E-001
3	7.69429262E-001
4	8.64799896E-001
5	7.64852866E-001
6	7.51531311E-001
7	8.29338492E-001
8	8.70885213E-001
9	8.38669122E-001
10	9.01857970E-001
11	8.35254894E-001
12	6.60495117E-001
13	6.27668417E-001
14	6.77298204E-001
15	6.71518950E-001
16	6.22663448E-001
17	4.88570696E-001
18	6.16117146E-001
19	6.10103141E-001
20	5.13197220E-001
21	5.39672288E-001
22	5.41100891E-001
23	6.00488967E-001
24	5.81516911E-001
25	6.53538754E-001
26	6.76853572E-001
27	5.41936592E-001
28	6.91911834E-001
29	6.43794601E-001
30	6.86769600E-001
31	7.37519407E-001
32	7.64514161E-001
33	7.75958701E-001
34	7.10332884E-001
35	7.11143546E-001
36	6.56516379E-001
37	6.64913459E-001
38	6.91231764E-001
39	6.52780362E-001
40	6.02894112E-001
41	6.99503190E-001
42	7.19422304E-001
43	7.79451071E-001
44	7.71594885E-001
45	7.26583083E-001
46	7.80612680E-001
47	7.73258905E-001
48	7.14463765E-001
49	7.81089571E-001
50	7.08407479E-001
51	7.40839809E-001
52	6.93950921E-001
53	6.52756861E-001
54	7.43919104E-001
55	7.39371474E-001
56	7.07040568E-001
57	6.42929952E-001
58	6.20611595E-001
59	6.52842137E-001
60	7.19974124E-001
61	6.52194922E-001
62	6.97651259E-001
63	7.20754617E-001
64	7.85623181E-001
65	7.50681821E-001
66	6.95562646E-001
67	7.40332386E-001
68	7.02602806E-001
69	7.02389539E-001
70	6.28458073E-001
71	6.02691008E-001
72	6.36154216E-001
73	6.57481655E-001
74	6.42080082E-001
75	7.04212820E-001
76	7.52489093E-001
77	8.42872134E-001
78	8.06967649E-001
79	7.58735810E-001
80	7.51994632E-001
81	7.26949885E-001
82	6.96948305E-001
83	7.07104839E-001
84	6.29161326E-001
85	6.19178215E-001
86	6.54599553E-001
87	6.11401459E-001
88	5.67111982E-001
89	5.33632583E-001
90	4.61524129E-001
91	5.28426759E-001
92	5.79589374E-001
93	6.00736988E-001
94	5.73464684E-001
95	6.39454263E-001
96	6.48452838E-001
97	5.97157970E-001
98	6.51536833E-001
99	6.99903686E-001
100	6.42080211E-001
101	6.99145904E-001
102	7.52825291E-001
103	7.03045879E-001
104	6.82833948E-001
105	7.32445154E-001
106	7.59899809E-001
107	6.56721476E-001
108	6.59726177E-001
109	6.09907411E-001
110	6.81056351E-001
111	7.67268025E-001
112	7.97053298E-001
113	6.48001057E-001
114	6.42126772E-001
115	6.12063239E-001
116	5.72378446E-001
117	5.76653796E-001
118	7.01540642E-001
119	7.34134177E-001
120	6.42387779E-001
121	5.66106174E-001
122	6.39224575E-001
123	6.48404824E-001
124	6.94491276E-001
125	7.40353993E-001
126	7.51279035E-001
127	6.72488019E-001
128	7.23728381E-001
129	6.58575596E-001
130	7.33299295E-001
131	7.01839818E-001
132	6.59115265E-001
133	7.12249470E-001
134	6.76680601E-001
135	6.78568531E-001
136	7.83712186E-001
137	7.28312359E-001
138	7.72404530E-001
139	7.27290358E-001
140	7.53523065E-001
141	7.26044944E-001
142	6.89706137E-001
143	7.46363962E-001
144	7.67464681E-001
145	5.72881186E-001
146	5.78510899E-001
147	6.14403830E-001
148	5.60908953E-001
149	6.44250181E-001
150	6.75997821E-001
151	6.47717529E-001
152	6.47654853E-001
153	5.82935500E-001
154	6.22423080E-001
155	6.30205083E-001
156	6.56837035E-001
157	6.76615984E-001
158	6.64487563E-001
159	5.82413106E-001
160	5.92566772E-001
161	6.33969974E-001
162	6.25612888E-001
163	6.99143323E-001
164	6.24986956E-001
165	6.13697388E-001
166	6.42725642E-001
167	6.35575663E-001
168	6.50707387E-001
169	5.94302669E-001
170	6.35774511E-001
171	6.80528006E-001
172	6.56363866E-001
173	6.81708514E-001
174	5.42514759E-001
175	5.72173873E-001
176	5.90042789E-001
177	5.24715333E-001
178	5.16769937E-001
179	6.16281900E-001
180	5.64425025E-001
181	5.04438333E-001
182	5.43155303E-001
183	6.00074793E-001
184	5.93391267E-001
185	6.47307017E-001
186	6.56406056E-001
187	7.07043122E-001
188	6.60789318E-001
189	6.47563888E-001
190	6.53348554E-001
191	6.08336696E-001
192	5.51286167E-001
193	4.96156277E-001
194	5.19828233E-001
195	4.98321012E-001
196	4.54063089E-001
197	4.86842578E-001
198	4.74785475E-001
199	4.73989943E-001
200	5.12372389E-001
201	4.97610131E-001
202	4.79918661E-001
203	5.20921082E-001
204	5.20090223E-001
205	5.69180003E-001
206	6.13652497E-001
207	5.94328645E-001
208	5.98756180E-001
209	5.62698098E-001
210	5.49399834E-001
211	5.84385496E-001
212	6.21610207E-001
213	6.87931784E-001
214	6.07470104E-001
215	5.97624575E-001
216	6.39939450E-001
217	6.29054618E-001
218	6.04104888E-001
219	5.23042454E-001
220	5.50768309E-001
221	4.92789843E-001
222	5.69196349E-001
223	5.61844516E-001
224	5.43603810E-001
225	5.50744364E-001
226	6.10330163E-001
227	5.07265479E-001
228	5.15155252E-001
229	5.53283903E-001
230	5.54303644E-001
231	5.09448424E-001
232	5.78138426E-001
233	5.74366505E-001
234	4.85206853E-001
235	4.30531559E-001
236	4.81687503E-001
237	5.07956344E-001
238	5.66588043E-001
239	5.39358594E-001
240	5.31404099E-001
241	5.08449927E-001
242	4.81616708E-001
243	5.85140064E-001
244	5.67033503E-001
245	4.76290855E-001
246	5.06536192E-001
247	5.20812472E-001
248	5.50633197E-001
249	5.63413403E-001
250	5.74940216E-001
251	4.84760501E-001
252	4.80898439E-001
253	3.51249711E-001
254	3.55403436E-001
255	4.54999428E-001
256	3.57321054E-001
257	4.24295204E-001
258	4.99899828E-001
259	4.84077788E-001
260	5.68457035E-001
261	4.55775549E-001
262	3.80564314E-001
263	5.29575751E-001
264	4.51880685E-001
265	3.74428536E-001
266	4.11033740E-001
267	4.50427665E-001
268	4.44744819E-001
269	4.82348429E-001
270	5.71713722E-001
271	5.93017398E-001
272	5.71029036E-001
273	5.28570579E-001
274	4.86309783E-001
275	5.32650615E-001
276	4.52713799E-001
277	5.04341573E-001
278	5.48447404E-001
279	5.80346260E-001
280	5.39228636E-001
281	6.49135882E-001
282	5.60651367E-001
283	5.36204133E-001
284	5.47780930E-001
285	4.85906944E-001
286	5.16499296E-001
287	5.01405406E-001
288	4.54823714E-001
289	4.88245943E-001
290	4.43484545E-001
291	3.72835757E-001
292	4.98153283E-001
293	4.41577021E-001
294	4.00381624E-001
295	3.90934093E-001
296	4.52052882E-001
297	4.70048832E-001
298	5.31129736E-001
299	4.76289779E-001
300	4.50455738E-001
301	4.67224289E-001
302	4.62022872E-001
303	4.32566115E-001
304	5.30610252E-001
305	5.33359128E-001
306	5.41401754E-001
307	4.83167164E-001
308	5.04613624E-001
309	5.52242479E-001
310	5.38391825E-001
311	4.95175571E-001
312	4.73493574E-001
313	4.48378777E-001
314	5.27040007E-001
315	4.75488870E-001
316	5.18139966E-001
317	4.98219402E-001
318	4.97714161E-001
319	4.69045591E-001
320	4.06784589E-001
321	4.92867098E-001
322	4.58164082E-001
323	2.77477210E-001
324	3.19623005E-001
325	3.29812892E-001
326	3.72790201E-001
327	3.43150548E-001
328	3.39378385E-001
329	3.51512175E-001
330	3.55737128E-001
331	3.13199128E-001
332	2.79727394E-001
333	3.75716197E-001
334	4.48223100E-001
335	4.30782308E-001
336	3.86576037E-001
337	3.22310421E-001
338	3.64003932E-001
339	3.51695404E-001
340	3.79373974E-001
341	3.82946705E-001
342	3.91335996E-001
343	4.18905242E-001
344	5.29370840E-001
345	4.36217154E-001
346	4.23284159E-001
347	4.09371132E-001
348	4.26095596E-001
349	3.15080265E-001
350	4.25816898E-001
351	3.83440177E-001
352	4.45553757E-001
353	4.01370918E-001
354	4.03091433E-001
355	4.81971876E-001
356	4.51428743E-001
357	4.11782890E-001
358	4.64687892E-001
359	3.86671190E-001
360	4.14110246E-001
361	3.96845492E-001
362	3.68401475E-001
363	3.63963699E-001
364	3.92249489E-001
365	4.03455328E-001
366	4.21624105E-001
367	4.15643729E-001
368	3.70754074E-001
369	4.12928409E-001
370	4.60343619E-001
371	5.20924100E-001
372	5.81846460E-001
373	5.41814264E-001
374	5.72919435E-001
375	4.59183553E-001
376	4.55116666E-001
377	4.62718817E-001
378	3.50629383E-001
379	3.60938901E-001
380	3.41415813E-001
381	3.52435244E-001
382	3.15639050E-001
383	4.14245896E-001
384	3.36979618E-001
385	3.43621977E-001
386	3.46669242E-001
