sweep	g1
1	0.00000000E+000
2	1.55748960E+002
3	1.02659277E+002
4	1.85912946E+002
5	2.50327330E+002
6	2.72955866E+002
7	3.48592474E+002
8	4.78802986E+002
9	4.07659929E+002
10	4.02541465E+002
11	4.78361553E+002
12	4.70552382E+002
13	4.54165101E+002
14	4.44424531E+002
15	4.14711814E+002
16	5.77424225E+002
17	7.11841134E+002
18	7.01772812E+002
19	6.52278285E+002
20	6.40060069E+002
21	6.99537136E+002
22	5.30316336E+002
23	5.53157105E+002
24	5.79048948E+002
25	5.64336829E+002
26	5.18434919E+002
27	5.87908186E+002
28	6.50868425E+002
29	6.58096851E+002
30	6.63396219E+002
31	8.40171889E+002
32	7.00657537E+002
33	7.73915569E+002
34	7.37950138E+002
35	7.35482124E+002
36	7.42271859E+002
37	7.38562676E+002
38	7.55376429E+002
39	7.44166815E+002
40	7.51740641E+002
41	7.80621131E+002
42	6.05618235E+002
43	6.09671369E+002
44	5.97517159E+002
45	6.05940296E+002
46	5.92034791E+002
47	6.27492764E+002
48	6.32162209E+002
49	6.38172598E+002
50	5.99152481E+002
51	6.01661226E+002
52	6.31637253E+002
53	6.16705386E+002
54	5.87103591E+002
55	5.87555046E+002
56	5.02272598E+002
57	4.91678629E+002
58	4.79135957E+002
59	4.14026035E+002
60	3.84868988E+002
61	6.18111511E+002
62	4.47761311E+002
63	4.45092358E+002
64	5.76467886E+002
65	5.71475547E+002
66	5.29007780E+002
67	4.94396485E+002
68	5.47004602E+002
69	5.75333743E+002
70	5.47623424E+002
71	5.13424084E+002
72	3.94269929E+002
73	4.33399023E+002
74	4.00869415E+002
75	4.33134281E+002
76	4.64592112E+002
77	4.63425816E+002
78	4.61421419E+002
79	4.07561005E+002
80	4.65084450E+002
81	3.58273231E+002
82	4.31102297E+002
83	4.62188874E+002
84	5.42871868E+002
85	4.57613187E+002
86	6.27204333E+002
87	6.01879742E+002
88	6.62997314E+002
89	7.01244314E+002
90	6.59742321E+002
91	6.62454590E+002
92	6.82805856E+002
93	5.97480972E+002
94	5.68272822E+002
95	5.36331981E+002
96	4.80144607E+002
97	4.72372704E+002
98	3.31033710E+002
99	3.46924573E+002
100	3.83591289E+002
101	3.57421510E+002
102	3.76564162E+002
103	4.09467264E+002
104	3.54021592E+002
105	4.34818105E+002
106	4.35729408E+002
107	4.18215849E+002
108	4.34107138E+002
109	5.41097502E+002
110	5.03455986E+002
111	4.54645245E+002
112	4.36835196E+002
113	4.56992239E+002
114	4.69813276E+002
115	4.59980778E+002
116	4.97026105E+002
117	5.48208465E+002
118	5.56755058E+002
119	5.26500383E+002
120	3.78683019E+002
121	3.51144082E+002
122	3.48858832E+002
123	3.66688649E+002
124	4.92527029E+002
125	6.07925509E+002
126	5.12704345E+002
127	5.76182002E+002
128	5.06386068E+002
129	4.85670785E+002
130	5.29400594E+002
131	4.75353242E+002
132	3.88568217E+002
133	3.82719789E+002
134	3.79749745E+002
135	5.08068964E+002
136	5.02246907E+002
137	5.37347418E+002
138	4.54758669E+002
139	4.26230317E+002
140	4.02455715E+002
141	4.08972729E+002
142	4.77699370E+002
143	4.36084770E+002
144	4.93530041E+002
145	5.29960399E+002
146	5.79021909E+002
