sweep	g1
1	0.00000000E+000
2	4.19560788E+000
3	1.53789356E+001
4	2.32573721E+001
5	2.41804183E+001
6	2.56491560E+001
7	2.51273130E+001
8	3.11751181E+001
9	2.82849234E+001
10	3.21730477E+001
11	3.35524037E+001
12	4.55952189E+001
13	4.19989623E+001
14	5.50274596E+001
15	6.19724261E+001
16	5.03689826E+001
17	5.18052600E+001
18	5.42950190E+001
19	5.22138626E+001
20	6.84725255E+001
21	6.65896515E+001
22	7.83492261E+001
23	7.65082430E+001
24	6.92922677E+001
25	6.35671667E+001
26	7.34077953E+001
27	7.56348971E+001
28	7.64887885E+001
29	6.21414101E+001
30	6.66277802E+001
31	6.65581955E+001
32	7.57891557E+001
33	8.46306150E+001
34	6.52037699E+001
35	6.26130495E+001
36	6.25108627E+001
37	6.62548857E+001
38	6.62781746E+001
39	9.18485445E+001
40	9.32667767E+001
41	9.25611412E+001
42	9.18907731E+001
43	9.53996386E+001
44	1.06222101E+002
45	1.07902184E+002
46	1.21848307E+002
47	1.19105392E+002
48	1.08721156E+002
49	1.09676186E+002
50	1.31645463E+002
51	1.28065091E+002
52	1.45497946E+002
53	1.31367199E+002
54	1.36824263E+002
55	1.44361681E+002
56	1.62417770E+002
57	1.45864707E+002
58	1.22779695E+002
59	1.14475438E+002
60	1.34064500E+002
61	1.36578624E+002
62	1.41482692E+002
63	1.32966993E+002
64	1.48837974E+002
65	1.47548613E+002
66	1.45763811E+002
67	1.44454225E+002
68	1.44366754E+002
69	1.42950917E+002
70	1.40986639E+002
71	1.49450677E+002
72	1.56560764E+002
73	1.58842303E+002
74	1.36476609E+002
75	1.33142051E+002
76	1.37587825E+002
77	1.39106800E+002
78	1.46251830E+002
79	1.55689484E+002
80	1.56047221E+002
81	1.61851566E+002
82	1.61012386E+002
83	1.54818692E+002
84	1.66785620E+002
85	1.73991177E+002
86	1.67230206E+002
87	1.69532992E+002
88	1.64968375E+002
89	1.68985706E+002
90	1.68369425E+002
91	1.61814913E+002
92	1.55383241E+002
93	1.47996092E+002
94	1.47510966E+002
95	1.59337223E+002
96	1.73835052E+002
97	1.72960215E+002
98	1.68070084E+002
99	1.71089212E+002
100	1.83470269E+002
101	1.70888828E+002
102	1.82967930E+002
103	1.81940305E+002
104	1.87032063E+002
105	2.00055543E+002
106	2.06687828E+002
107	2.25189525E+002
108	2.20656158E+002
109	2.15604968E+002
110	2.24101564E+002
111	2.20333907E+002
112	2.06988445E+002
113	2.08157338E+002
114	2.20018132E+002
115	2.17367906E+002
116	2.17817115E+002
117	1.88284071E+002
118	2.10175796E+002
119	2.48436352E+002
120	2.36044755E+002
121	2.45368622E+002
122	2.46983061E+002
123	2.54028720E+002
124	2.31407877E+002
125	2.35499338E+002
126	2.38657490E+002
127	2.30942413E+002
128	2.28240645E+002
129	2.22823062E+002
130	2.47264767E+002
131	2.80206045E+002
132	2.59342422E+002
133	2.57043256E+002
134	2.47588933E+002
135	2.33899512E+002
136	2.47603145E+002
137	2.28034895E+002
138	2.32918377E+002
139	2.49374438E+002
140	2.47357156E+002
141	2.69833126E+002
142	2.76446040E+002
143	2.74944892E+002
144	2.78562262E+002
145	2.85658716E+002
146	2.62579880E+002
147	2.54314619E+002
148	2.68383868E+002
149	2.57506898E+002
150	2.35526651E+002
151	2.43844281E+002
152	2.35323833E+002
153	2.28880871E+002
154	2.33832022E+002
155	2.04575540E+002
156	2.05365493E+002
157	2.28101357E+002
158	2.47141697E+002
159	2.41959866E+002
160	2.42507394E+002
161	2.42255945E+002
162	2.26578068E+002
163	2.48145931E+002
164	2.48922370E+002
165	2.76697537E+002
166	2.63022955E+002
167	2.65210098E+002
168	2.58515011E+002
169	2.55765542E+002
170	2.55408198E+002
171	2.42897589E+002
172	2.57634788E+002
173	2.49693558E+002
174	2.52472510E+002
175	2.61837275E+002
176	2.52407566E+002
177	2.47808685E+002
178	2.54515900E+002
179	2.54232159E+002
180	2.36509404E+002
181	2.62039748E+002
182	2.54842115E+002
183	2.58533367E+002
184	2.41857116E+002
185	2.15005292E+002
186	2.15094925E+002
187	2.17567427E+002
188	2.19717833E+002
189	2.27522980E+002
190	2.34278501E+002
191	2.43269486E+002
192	2.66367968E+002
193	2.86768472E+002
194	2.72853221E+002
195	2.97967027E+002
196	2.78603490E+002
197	2.74340275E+002
198	2.67170396E+002
199	2.73878757E+002
200	2.33549135E+002
201	2.50424418E+002
202	2.48140520E+002
203	2.52665289E+002
204	2.32112065E+002
205	2.19473009E+002
206	2.48553301E+002
207	2.46179465E+002
208	2.63556421E+002
209	2.45034854E+002
210	2.43218571E+002
211	2.30908293E+002
212	2.29694218E+002
213	2.45864631E+002
214	2.28813973E+002
215	2.32145757E+002
216	2.20946405E+002
217	2.28196646E+002
218	2.30847135E+002
219	2.46311810E+002
220	2.40073777E+002
221	2.51241909E+002
222	2.46686750E+002
223	2.54589861E+002
224	2.46891673E+002
225	2.51649756E+002
226	2.44255650E+002
227	2.71069673E+002
228	2.75171827E+002
229	2.63641691E+002
230	2.59488441E+002
231	2.38702676E+002
232	2.41656894E+002
233	2.65865743E+002
234	2.83380148E+002
235	2.89975353E+002
236	2.88662795E+002
237	2.61617030E+002
238	2.46869116E+002
239	2.52924525E+002
240	2.68965940E+002
241	2.76394118E+002
242	2.69741294E+002
243	2.81329397E+002
244	2.72903522E+002
245	2.89052651E+002
246	2.61998702E+002
247	2.52734123E+002
248	2.53121225E+002
249	2.92193285E+002
250	2.69653088E+002
251	2.32128528E+002
252	2.21818158E+002
253	2.16113802E+002
254	1.99995446E+002
255	2.06537603E+002
256	1.95733429E+002
257	2.02490204E+002
258	1.96695293E+002
259	1.80596157E+002
260	1.98887955E+002
261	2.11901990E+002
262	2.19828444E+002
263	2.32863245E+002
264	2.39705128E+002
265	2.33243862E+002
266	2.31963468E+002
267	2.32722372E+002
268	2.40614195E+002
269	2.42135256E+002
270	2.58031146E+002
271	2.37071184E+002
272	2.12135393E+002
273	2.50983584E+002
274	2.43018655E+002
275	2.58115426E+002
276	2.90345334E+002
277	2.62831885E+002
278	2.75179733E+002
279	2.80856093E+002
280	3.05297836E+002
281	2.73159691E+002
282	2.44102654E+002
283	2.71955070E+002
284	3.10787679E+002
285	3.20123585E+002
286	3.18097441E+002
287	2.92124621E+002
288	2.87698959E+002
289	2.79931946E+002
290	2.48101186E+002
291	2.31771278E+002
292	2.51517508E+002
293	2.41735548E+002
294	2.76202287E+002
295	2.64471923E+002
296	2.63846456E+002
297	2.31883253E+002
298	2.23822626E+002
299	2.47791190E+002
300	2.31918616E+002
301	2.19474107E+002
302	2.31055050E+002
303	2.22228274E+002
304	2.44998155E+002
305	2.47043818E+002
306	2.50900914E+002
307	2.85356800E+002
308	2.77831608E+002
309	2.85711107E+002
310	2.78303803E+002
311	2.70156840E+002
312	2.86850384E+002
313	3.09795043E+002
314	2.69194474E+002
315	2.72120478E+002
316	2.90693672E+002
317	2.41023891E+002
318	2.57608957E+002
319	2.38087404E+002
320	2.40868527E+002
321	2.60443285E+002
322	2.46572204E+002
323	2.30603294E+002
324	2.38592747E+002
325	2.44755290E+002
326	2.33612726E+002
327	2.50355038E+002
328	2.41586992E+002
329	2.44342410E+002
330	2.50885607E+002
331	2.83264211E+002
332	2.77005570E+002
333	2.73550360E+002
334	2.77449689E+002
335	2.93397288E+002
336	3.03031254E+002
337	3.04807354E+002
338	3.49202317E+002
339	3.05383908E+002
340	2.98573093E+002
341	2.83730727E+002
342	2.70692885E+002
343	2.76406365E+002
344	3.31867074E+002
345	3.41769304E+002
346	3.23279612E+002
347	2.93852895E+002
348	3.02419124E+002
349	3.12437624E+002
350	3.23428492E+002
351	3.24947993E+002
352	3.42677173E+002
353	3.26597304E+002
354	3.41187843E+002
355	3.35165715E+002
356	3.38530583E+002
357	3.21488357E+002
358	3.03558518E+002
359	3.06744175E+002
360	3.00435723E+002
361	3.00560936E+002
362	3.07143965E+002
363	3.15634343E+002
364	2.86397273E+002
365	2.95557604E+002
366	2.97663012E+002
367	2.97714506E+002
368	2.77397368E+002
369	2.81171505E+002
370	2.87024050E+002
371	2.98144049E+002
372	2.87856673E+002
373	2.59800906E+002
374	2.81341472E+002
375	3.20086265E+002
376	3.18713582E+002
377	3.10761703E+002
378	3.01658247E+002
379	3.28068230E+002
380	3.29443348E+002
381	3.30706492E+002
382	2.99673495E+002
383	3.20306138E+002
384	3.42290672E+002
385	3.34679904E+002
386	3.34128593E+002
387	3.26365040E+002
388	3.05574098E+002
389	3.27234199E+002
390	3.10579928E+002
391	3.17356195E+002
392	3.05711582E+002
393	3.08578473E+002
394	3.10850013E+002
395	3.22825582E+002
396	3.09816883E+002
397	3.07055549E+002
398	3.04192732E+002
399	3.18468796E+002
400	3.13529800E+002
401	3.03278414E+002
402	3.08339536E+002
403	3.04772966E+002
404	3.29465907E+002
405	3.02289340E+002
406	2.97486418E+002
407	2.91577364E+002
408	2.95858097E+002
409	2.81842270E+002
410	2.69969635E+002
411	3.05553778E+002
412	3.14423833E+002
413	2.82368078E+002
414	2.83877118E+002
415	2.90774312E+002
416	3.08390939E+002
417	2.99705666E+002
418	2.78496499E+002
419	2.60056605E+002
