chain	R2	Rg2
0	42739.745712	3963.614636
1	6625.008600	3473.611702
2	21052.317462	4355.649931
3	32142.193120	6340.049429
4	61744.125356	7117.384401
5	34116.745818	3325.205801
6	54958.190684	6607.923443
7	21522.125334	3215.587101
8	101840.523625	8316.202615
9	17104.170925	4827.040585
10	39192.239091	7708.634199
11	22839.790746	3015.901216
12	57235.325496	8109.583726
13	4816.489883	2920.311206
14	24268.148041	3520.542325
15	13985.529958	4193.887684
16	2754.970470	1837.741852
17	4504.783149	2620.995098
18	42481.442016	7112.859564
19	32479.584118	4610.469015
