sweep	g_CM
291	3.27242958E+001
292	3.64105005E+001
293	3.86716262E+001
294	3.74312776E+001
295	3.24841666E+001
296	3.41254848E+001
297	3.87635253E+001
298	3.88179084E+001
299	3.78651474E+001
300	3.59402156E+001
301	3.58536459E+001
302	3.53697840E+001
303	3.80194675E+001
304	3.00026362E+001
305	3.16497289E+001
306	2.89797359E+001
307	3.13792020E+001
308	3.42861107E+001
309	3.31671250E+001
310	3.82882246E+001
311	3.42156368E+001
312	3.65397784E+001
313	3.82089214E+001
314	3.52221579E+001
315	3.34637946E+001
316	3.54086557E+001
317	3.91755147E+001
318	3.66550520E+001
319	3.85990886E+001
320	3.84447269E+001
321	4.02201640E+001
322	4.19130936E+001
323	3.83475086E+001
324	3.71991465E+001
325	4.04059853E+001
326	3.81965817E+001
327	3.57787743E+001
328	3.41337367E+001
329	3.45895716E+001
330	3.42020914E+001
331	3.31236911E+001
332	3.40098182E+001
333	3.77204634E+001
334	3.80754333E+001
335	3.76590976E+001
336	3.89566970E+001
337	4.35903804E+001
338	4.52797330E+001
339	4.33005471E+001
340	4.92222396E+001
341	4.49012537E+001
342	4.08873431E+001
343	4.26213411E+001
344	4.07067839E+001
345	4.04124163E+001
346	4.32180242E+001
347	3.78029023E+001
348	3.38649690E+001
349	3.80949236E+001
350	3.50812769E+001
351	3.76763389E+001
352	3.82506391E+001
353	4.18909728E+001
354	4.22581595E+001
355	3.56013239E+001
356	3.85144687E+001
357	3.61430252E+001
358	3.84179383E+001
359	4.07723651E+001
360	3.70959879E+001
361	3.91396897E+001
362	3.92879466E+001
363	3.33528218E+001
364	3.34421914E+001
365	3.56535912E+001
366	3.26602276E+001
367	3.72971390E+001
368	3.30671672E+001
369	3.55830999E+001
370	3.48649932E+001
371	3.84381995E+001
372	3.58384169E+001
373	3.79710508E+001
374	3.29869962E+001
375	3.37960490E+001
376	3.11766789E+001
377	3.68881763E+001
378	3.18298610E+001
379	3.44987184E+001
380	3.32137492E+001
381	3.12316119E+001
382	3.62200432E+001
383	3.37978414E+001
384	3.83200647E+001
385	4.17183923E+001
386	4.26147386E+001
387	4.47367088E+001
388	4.64918519E+001
389	4.77632893E+001
390	4.90509357E+001
391	4.54821656E+001
392	5.06681815E+001
393	4.81020840E+001
394	4.09264044E+001
395	4.10826713E+001
396	3.97084146E+001
397	4.28545579E+001
398	4.83055670E+001
399	4.02451428E+001
400	4.12208940E+001
401	4.21855071E+001
402	4.49488735E+001
403	4.55635198E+001
404	4.08301640E+001
405	4.30987657E+001
406	4.07980683E+001
407	3.62599248E+001
408	3.72692127E+001
409	3.94459087E+001
410	3.89383287E+001
411	3.63923777E+001
412	3.68987657E+001
413	3.77831389E+001
414	4.13266045E+001
415	3.83272981E+001
416	3.86465816E+001
417	4.19538773E+001
418	4.18315272E+001
419	4.00254740E+001
420	4.01268333E+001
421	4.04995741E+001
422	4.21140109E+001
423	4.11521764E+001
424	4.42635847E+001
425	4.29840537E+001
426	4.26447768E+001
427	4.23759589E+001
428	4.66102592E+001
429	4.29704423E+001
430	4.42134638E+001
431	4.55136099E+001
432	4.75675281E+001
433	4.77488418E+001
434	4.62447512E+001
435	4.22485701E+001
436	4.45547822E+001
437	3.97471738E+001
