sweep	gR
1	1.00000000E+000
2	9.40478160E-001
3	8.70659160E-001
4	9.72552717E-001
5	9.70718771E-001
6	1.02877904E+000
7	1.02038305E+000
8	9.94118952E-001
9	1.01857177E+000
10	1.01498800E+000
11	1.02068872E+000
12	1.01392012E+000
13	9.78471495E-001
14	9.62591163E-001
15	9.47683427E-001
16	9.27638128E-001
17	9.52423933E-001
18	9.36723239E-001
19	9.25152430E-001
20	9.45856555E-001
21	9.48511473E-001
22	9.42789372E-001
23	9.52509467E-001
24	9.68636563E-001
25	9.26272004E-001
26	8.92793742E-001
27	8.99473846E-001
28	8.77928516E-001
29	9.12012319E-001
30	9.21528600E-001
31	8.93134339E-001
32	8.91122000E-001
33	9.18734531E-001
34	8.79528239E-001
35	8.46375052E-001
36	8.44117971E-001
37	8.77442550E-001
38	8.96041768E-001
39	9.30085840E-001
40	8.90573306E-001
41	8.08021887E-001
42	8.43717817E-001
43	8.61694485E-001
44	8.79413848E-001
45	8.88053576E-001
46	9.24927137E-001
47	9.27156892E-001
48	9.47891778E-001
49	9.12882123E-001
50	9.32424052E-001
51	9.20872662E-001
52	8.79848479E-001
53	8.88254565E-001
54	9.11346287E-001
55	8.86825532E-001
56	9.32306515E-001
57	9.16383332E-001
58	8.85860655E-001
59	8.79982136E-001
60	8.67205440E-001
61	8.75750990E-001
62	8.81664171E-001
63	8.85358411E-001
64	8.72220720E-001
65	8.57660567E-001
66	8.30168432E-001
67	8.53257753E-001
68	8.52939988E-001
69	8.70135079E-001
70	8.67847518E-001
71	8.25298642E-001
72	8.89574015E-001
73	8.30871994E-001
74	8.59225641E-001
75	8.53508937E-001
76	8.37555244E-001
77	8.32641310E-001
78	8.65273365E-001
79	8.62041739E-001
80	8.81090708E-001
81	8.81487220E-001
82	8.36470866E-001
83	8.29662421E-001
84	7.95930598E-001
85	8.16037001E-001
86	8.11167397E-001
87	8.58581890E-001
88	8.59772236E-001
89	8.71834489E-001
90	8.55913107E-001
91	8.25295691E-001
92	8.64141993E-001
93	8.62307250E-001
94	8.31445209E-001
95	8.41571545E-001
96	8.37470185E-001
97	8.57319151E-001
98	8.37179124E-001
99	8.57135727E-001
100	9.35832939E-001
101	9.25860348E-001
102	9.10633507E-001
103	8.78595847E-001
104	8.68286681E-001
105	8.88918809E-001
106	9.13509963E-001
107	8.75050270E-001
108	8.86878062E-001
109	8.95773539E-001
110	8.76111632E-001
111	8.90397247E-001
112	8.71489893E-001
113	8.73559716E-001
114	8.78520277E-001
115	8.55943941E-001
116	8.66308473E-001
117	9.02211405E-001
118	9.11850868E-001
119	8.63702126E-001
120	8.49469418E-001
121	8.46033133E-001
122	8.38096695E-001
123	8.64795308E-001
124	8.41220403E-001
125	8.37047135E-001
126	8.48435521E-001
127	7.99181683E-001
128	8.14863516E-001
129	8.69874776E-001
130	8.94295487E-001
131	8.70555475E-001
132	8.47911325E-001
133	8.55258438E-001
134	8.25666751E-001
135	8.42238099E-001
136	8.36712694E-001
137	8.20958275E-001
138	8.23073624E-001
139	8.28199039E-001
140	8.55742292E-001
141	8.87657700E-001
142	8.50076733E-001
143	8.52620110E-001
144	8.51595927E-001
145	8.55507851E-001
146	8.53879832E-001
147	8.69669996E-001
148	8.58501143E-001
149	8.75032252E-001
150	8.29400481E-001
151	8.65721665E-001
152	8.99500049E-001
153	8.96424294E-001
154	8.96048298E-001
155	8.94454354E-001
156	8.68432990E-001
157	9.11946148E-001
158	9.21272588E-001
159	9.21485915E-001
160	8.55417532E-001
161	8.98704116E-001
162	9.10055890E-001
163	8.70461907E-001
164	8.66031691E-001
165	8.78653414E-001
166	9.08651940E-001
167	8.53378152E-001
168	9.04252521E-001
169	8.83905781E-001
170	8.95574749E-001
171	9.21814760E-001
172	8.75278398E-001
173	8.37641977E-001
174	8.76513418E-001
175	8.67150767E-001
176	8.63561899E-001
177	8.36675736E-001
178	8.95755969E-001
179	8.33214046E-001
180	8.74841699E-001
181	8.79455081E-001
182	8.40681465E-001
183	8.48540421E-001
184	8.95361848E-001
185	8.78483514E-001
186	8.87736705E-001
187	8.64089500E-001
188	9.06134338E-001
189	8.46542574E-001
190	8.55003663E-001
191	8.64531966E-001
192	8.60461669E-001
193	8.99409817E-001
194	8.76869251E-001
195	8.65944519E-001
196	8.59054355E-001
197	8.39192222E-001
198	8.81536887E-001
199	8.38510575E-001
200	8.61677295E-001
201	8.14605534E-001
202	8.44884336E-001
203	8.92012702E-001
204	8.89395244E-001
205	8.83686031E-001
206	8.77710660E-001
207	8.78988609E-001
208	8.76066257E-001
209	8.58417066E-001
210	8.87314211E-001
211	8.66602708E-001
212	8.28101216E-001
213	8.21210710E-001
214	8.18741434E-001
215	8.41865115E-001
216	8.52684379E-001
217	8.09795861E-001
218	8.40063594E-001
219	8.10438733E-001
220	8.12943499E-001
221	8.29681207E-001
222	8.37331586E-001
223	8.34066033E-001
224	8.23604980E-001
225	8.10304244E-001
226	8.58546853E-001
227	8.53304581E-001
228	8.37876583E-001
229	8.58630018E-001
230	8.64719959E-001
231	8.66470151E-001
232	8.64271757E-001
233	8.51546159E-001
234	8.36359114E-001
235	8.22587137E-001
236	8.32468344E-001
237	8.22401213E-001
238	8.54501100E-001
239	8.75755563E-001
240	8.43660798E-001
241	8.67780763E-001
242	8.46253441E-001
243	8.16323764E-001
244	8.30301401E-001
245	8.34305028E-001
246	8.73550282E-001
247	8.46020071E-001
248	8.44355206E-001
249	8.60401368E-001
250	8.62752456E-001
251	8.56297398E-001
252	8.53321622E-001
253	8.51953171E-001
254	8.77647455E-001
255	8.69874328E-001
256	8.73000827E-001
257	8.90090659E-001
258	8.47032967E-001
259	8.39901502E-001
260	8.57578822E-001
261	7.96423097E-001
262	8.36523979E-001
263	8.54275983E-001
264	8.31128696E-001
265	8.53462681E-001
266	8.70826967E-001
267	8.79670372E-001
268	8.72507007E-001
269	8.47415756E-001
270	8.56315411E-001
271	8.59624981E-001
272	8.47765523E-001
273	8.49830767E-001
274	8.45398314E-001
275	8.74178188E-001
276	8.80265844E-001
277	8.79389481E-001
278	8.76985274E-001
279	8.83142412E-001
280	8.81875441E-001
281	8.48591792E-001
282	9.01059513E-001
283	9.10762739E-001
284	8.89559936E-001
285	8.64932073E-001
286	9.34437082E-001
287	9.36593165E-001
288	9.53142355E-001
289	9.22772333E-001
290	9.25616956E-001
291	9.18696867E-001
292	8.82509992E-001
293	8.89162483E-001
294	8.95612978E-001
295	9.08996744E-001
296	9.19776788E-001
297	8.91411858E-001
298	8.88011293E-001
299	9.06324197E-001
300	8.69898352E-001
301	8.61258835E-001
302	8.80564251E-001
303	8.99761677E-001
304	8.80535132E-001
305	8.48167405E-001
306	8.67891149E-001
307	8.86033271E-001
308	8.45777707E-001
309	8.65348333E-001
310	8.47272614E-001
311	8.66615070E-001
312	8.79703719E-001
313	8.61088873E-001
314	8.39290164E-001
315	8.53620450E-001
316	8.87861355E-001
317	8.93778729E-001
318	8.87300482E-001
319	8.63495111E-001
320	8.68900677E-001
321	8.47696318E-001
322	8.47691198E-001
323	8.79396632E-001
324	8.64290219E-001
325	8.43366501E-001
326	8.50782782E-001
327	8.62558024E-001
328	8.65096151E-001
329	8.83553707E-001
330	8.91915098E-001
331	8.76077174E-001
332	8.55548735E-001
333	8.39496458E-001
334	8.84073666E-001
