sweep	g_CM
1	0.00000000E+000
2	1.92420553E+001
3	6.49242793E+001
4	6.54371280E+001
5	7.40659095E+001
6	8.43446254E+001
7	8.87218383E+001
8	1.30850420E+002
9	1.33911999E+002
10	1.63443019E+002
11	1.49286536E+002
12	1.53516712E+002
13	1.64376070E+002
14	1.77286368E+002
15	1.70053205E+002
16	1.66877696E+002
17	1.25070241E+002
18	1.42341206E+002
19	1.59127885E+002
20	1.31844156E+002
21	1.47397048E+002
22	1.29184445E+002
23	1.42466992E+002
24	1.40095943E+002
25	1.56407471E+002
26	1.76663063E+002
27	1.58980377E+002
28	1.66030485E+002
29	1.59414918E+002
30	1.40850471E+002
31	1.45111467E+002
32	1.39327306E+002
33	1.39199092E+002
34	1.36006211E+002
35	1.39165368E+002
36	1.46508556E+002
37	1.42911505E+002
38	1.49032203E+002
39	1.31832465E+002
40	1.34443492E+002
41	1.29208764E+002
42	1.28402184E+002
43	1.39648491E+002
44	1.12359818E+002
45	1.16402966E+002
46	9.47824985E+001
47	9.61865050E+001
48	8.82061230E+001
49	8.71316211E+001
50	9.68626859E+001
51	1.27874328E+002
52	1.23229162E+002
53	1.51319628E+002
54	1.50855307E+002
55	1.75409427E+002
56	1.57014378E+002
57	1.50139167E+002
58	1.47224938E+002
59	1.29913670E+002
60	1.28336349E+002
61	1.57257925E+002
62	1.50265269E+002
63	1.66221422E+002
64	1.60914499E+002
65	1.52357634E+002
66	1.56358280E+002
67	1.63456118E+002
68	1.52860641E+002
69	1.53288032E+002
70	1.51453630E+002
71	1.63416223E+002
72	1.72790473E+002
73	1.67108535E+002
74	1.54961533E+002
75	1.64819828E+002
76	1.65244201E+002
77	1.88884008E+002
78	1.56357839E+002
79	1.54263958E+002
80	1.60771238E+002
81	1.55718877E+002
82	1.71367451E+002
83	1.69321082E+002
84	1.82435017E+002
85	1.74672419E+002
86	2.08664624E+002
87	2.05547794E+002
88	2.02363290E+002
89	1.85112722E+002
90	2.10543802E+002
91	2.04811651E+002
92	2.16873770E+002
93	1.99828160E+002
94	1.93953023E+002
95	1.91717232E+002
96	1.99132208E+002
97	1.90836837E+002
98	1.91804221E+002
99	2.21231828E+002
100	2.29387070E+002
101	2.43027033E+002
102	2.22713541E+002
103	1.91448145E+002
104	2.03551049E+002
105	1.88835894E+002
106	2.02356111E+002
107	2.04300713E+002
108	1.99324027E+002
109	1.96777450E+002
110	2.05026618E+002
111	2.15394071E+002
112	2.08956095E+002
113	2.32197877E+002
114	2.27026249E+002
115	2.03604331E+002
116	2.33302800E+002
117	2.34132523E+002
118	2.65772059E+002
119	2.74125182E+002
120	2.57296299E+002
121	2.59652295E+002
122	2.32062881E+002
123	2.74375316E+002
124	2.67276915E+002
125	2.38311044E+002
