sweep	gR
1	1.00000000E+000
2	9.09961344E-001
3	7.11860369E-001
4	6.19658636E-001
5	5.72454586E-001
6	6.82211629E-001
7	6.05005144E-001
8	6.82814624E-001
9	6.95589063E-001
10	7.24636932E-001
11	5.30564950E-001
12	5.84409168E-001
13	5.64371066E-001
14	5.33782049E-001
15	5.62156983E-001
16	4.91881159E-001
17	4.87093993E-001
18	5.01552394E-001
19	4.22425058E-001
20	3.97056058E-001
21	4.43250190E-001
22	4.32627772E-001
23	4.58872270E-001
24	5.19091687E-001
25	4.87916315E-001
26	4.66517937E-001
27	5.17063816E-001
28	5.34150841E-001
29	5.57678994E-001
30	5.93807046E-001
31	4.98621665E-001
32	4.88539839E-001
33	2.58806577E-001
34	4.89382072E-001
35	4.16485431E-001
36	3.16350264E-001
37	3.65043672E-001
38	4.28190634E-001
39	4.64814410E-001
40	6.14539777E-001
41	5.96607297E-001
42	6.33279904E-001
43	5.47784372E-001
44	6.11452521E-001
45	6.39630050E-001
46	5.94979797E-001
47	5.57737719E-001
48	5.74132526E-001
49	6.11464424E-001
50	6.29571667E-001
51	5.26095767E-001
52	4.75217646E-001
53	4.86355643E-001
54	4.79960859E-001
55	5.71381236E-001
56	6.06265957E-001
57	6.55833662E-001
58	6.06273313E-001
59	6.57218365E-001
60	6.98599762E-001
61	6.69104877E-001
62	5.90995576E-001
63	6.72574379E-001
64	5.52165465E-001
65	5.43100317E-001
66	5.51234025E-001
67	4.81390493E-001
68	5.24401592E-001
69	6.29614854E-001
70	6.29727273E-001
71	6.81811912E-001
72	6.03702457E-001
73	5.79331020E-001
74	5.33968199E-001
75	5.32750074E-001
76	5.68141222E-001
77	4.80415022E-001
78	5.25673547E-001
79	3.81438496E-001
80	4.80102811E-001
81	4.99008246E-001
82	4.88608072E-001
83	3.99207799E-001
84	4.87990287E-001
85	3.76708474E-001
86	4.42699362E-001
87	4.63482716E-001
88	4.65570008E-001
89	4.64413424E-001
90	4.89113738E-001
91	5.13500349E-001
92	4.25974297E-001
93	3.82106061E-001
94	3.74498619E-001
95	4.37499762E-001
96	3.61475554E-001
97	3.65669494E-001
