sweep	g1
1	0.00000000E+000
2	3.24085822E-001
3	7.82544713E+001
4	1.22483104E+002
5	1.21336496E+002
6	1.14647184E+002
7	1.29389814E+002
8	1.17971616E+002
9	1.21858152E+002
10	2.18714501E+002
11	1.76198515E+002
12	1.90477278E+002
13	1.57435633E+002
14	2.29993248E+002
15	2.49554703E+002
16	2.27746496E+002
17	2.08116648E+002
18	1.80841647E+002
19	2.02546845E+002
20	2.40354951E+002
21	2.82468871E+002
22	2.93533812E+002
23	2.79556502E+002
24	2.63450722E+002
25	1.94695319E+002
26	2.48219621E+002
27	2.30699848E+002
28	2.28423780E+002
29	2.34686879E+002
30	2.46800563E+002
31	2.25612034E+002
32	2.27836082E+002
33	1.96231016E+002
34	1.81227624E+002
35	1.82007957E+002
36	2.57592497E+002
37	3.17622000E+002
38	3.15976490E+002
39	3.43765127E+002
40	3.00646534E+002
41	2.98685633E+002
42	2.51951122E+002
43	2.66047234E+002
44	2.67861306E+002
45	2.57498739E+002
46	2.67342234E+002
47	2.69066617E+002
48	2.79843107E+002
49	2.85383303E+002
50	2.57609775E+002
51	2.40461506E+002
52	2.97572354E+002
53	3.31664494E+002
54	3.59093059E+002
55	3.28108599E+002
56	2.98803816E+002
57	2.88764035E+002
58	3.13205109E+002
59	3.01877194E+002
60	2.67424570E+002
61	2.33701573E+002
62	2.28712078E+002
63	2.88234845E+002
64	2.69066673E+002
65	2.44642988E+002
66	2.30448631E+002
67	2.38815519E+002
68	2.46497608E+002
69	2.40733281E+002
70	2.29014409E+002
71	2.36038042E+002
72	2.55005774E+002
73	2.38192670E+002
74	2.71214514E+002
75	2.90825060E+002
76	3.02237454E+002
77	3.27596656E+002
78	3.09698894E+002
79	2.84728835E+002
80	2.76337647E+002
81	3.01559548E+002
82	2.83725324E+002
83	2.76622813E+002
84	2.80680562E+002
85	3.28279749E+002
86	4.21204500E+002
87	4.30692483E+002
88	4.94305944E+002
89	5.06178422E+002
90	5.15721731E+002
91	4.57546979E+002
92	4.21271689E+002
93	4.23837770E+002
94	4.14184770E+002
95	4.09193540E+002
96	3.10479898E+002
97	2.92906852E+002
98	2.87842223E+002
99	3.17224743E+002
100	2.64316099E+002
101	3.36346498E+002
102	2.67509921E+002
103	3.47296492E+002
104	3.25249423E+002
105	3.21851238E+002
106	3.96361258E+002
107	3.94980564E+002
108	3.10919359E+002
109	2.86554756E+002
110	3.11051604E+002
111	4.00235353E+002
112	4.31428557E+002
113	3.94829529E+002
114	2.50710696E+002
115	2.84041917E+002
116	2.94312688E+002
117	3.07684247E+002
118	3.15794575E+002
119	3.32215525E+002
120	3.52131748E+002
121	3.29562918E+002
122	3.53379696E+002
123	3.30452254E+002
124	3.60341214E+002
125	3.56377129E+002
126	4.00349518E+002
127	4.00387381E+002
128	3.49731739E+002
129	4.04097127E+002
130	4.00399432E+002
131	3.87464203E+002
132	3.92925581E+002
133	4.65200460E+002
134	4.15399459E+002
135	5.70096582E+002
136	4.35069381E+002
137	4.35683678E+002
138	5.98417719E+002
139	4.73715008E+002
140	4.20053806E+002
141	4.98635976E+002
142	4.10663098E+002
143	4.10179472E+002
144	3.68862514E+002
145	3.44927777E+002
146	5.03575617E+002
147	5.02900124E+002
148	5.08969822E+002
149	5.13094933E+002
150	4.70364670E+002
151	4.38384145E+002
152	5.21289602E+002
153	6.11570650E+002
154	5.93577721E+002
155	5.83315690E+002
