chain	R2	Rg2
0	52204.086596	5185.679722
1	23430.356915	2169.337277
2	33061.386391	4726.602104
3	19728.348542	3753.296283
4	5470.946804	1834.653129
5	11610.832246	2015.118322
6	4149.702410	1237.969967
7	13296.472144	3249.820540
8	4456.834982	1435.295405
9	6335.487642	3206.593097
10	8470.509983	1120.752559
11	13292.568597	2050.644760
12	1640.754955	856.577796
13	17954.305421	2594.306560
14	21848.643306	2642.581552
15	22261.781670	1906.714047
16	24748.280346	3486.949593
17	5148.039370	1618.545865
18	9953.199658	1325.734658
19	17762.355410	2341.808029
