sweep	gR
1	1.00000000E+000
2	9.61126200E-001
3	8.45768635E-001
4	8.44394022E-001
5	8.68902951E-001
6	8.17681901E-001
7	8.02983271E-001
8	7.93491040E-001
9	8.86675877E-001
10	9.16341846E-001
11	9.47891079E-001
12	9.27704701E-001
13	9.97845448E-001
14	9.22422191E-001
15	1.02198984E+000
16	9.95448009E-001
17	9.22970636E-001
18	9.68113367E-001
19	8.84014055E-001
20	9.11020497E-001
21	8.78492533E-001
22	8.67696212E-001
23	8.04739810E-001
24	7.84637150E-001
25	8.09882124E-001
26	7.98069406E-001
27	8.32446667E-001
28	8.10137050E-001
29	8.77991733E-001
30	9.05881546E-001
31	8.89876104E-001
32	8.55689854E-001
33	8.54229428E-001
34	8.58643195E-001
35	9.14260408E-001
36	8.41500342E-001
37	8.18760031E-001
38	8.66509666E-001
39	8.57035089E-001
40	8.73297941E-001
41	8.79134710E-001
42	8.56820405E-001
43	8.89640736E-001
44	8.56351465E-001
45	9.78200385E-001
46	8.95040912E-001
47	9.41291924E-001
48	9.58878156E-001
49	9.70890259E-001
50	9.67072922E-001
51	9.02922377E-001
52	9.13785621E-001
53	8.62830937E-001
54	8.72020653E-001
55	8.42252002E-001
56	8.49503816E-001
57	8.18936968E-001
58	8.69166463E-001
59	8.48524210E-001
60	8.95556361E-001
61	8.88298409E-001
62	8.50578878E-001
63	8.38556695E-001
64	8.53998616E-001
65	8.28608063E-001
66	8.31625252E-001
67	9.41597975E-001
68	8.96859622E-001
69	8.87856649E-001
70	8.26931944E-001
71	7.56776132E-001
72	7.57216805E-001
73	7.19170100E-001
74	7.16451228E-001
75	7.65425120E-001
76	8.03180479E-001
77	7.36959054E-001
78	7.37527234E-001
79	7.89852955E-001
80	8.18967087E-001
81	8.49272891E-001
82	8.93877434E-001
83	9.32042574E-001
84	9.27756197E-001
85	8.97041932E-001
86	8.73849088E-001
87	8.39645169E-001
88	8.37483116E-001
89	8.56663628E-001
90	8.44083124E-001
91	8.46648391E-001
92	8.58474528E-001
93	8.90097382E-001
94	8.79002003E-001
95	8.72778777E-001
96	8.29639183E-001
97	7.98618032E-001
98	8.40150698E-001
99	8.27330237E-001
100	8.54323264E-001
101	8.11811552E-001
102	8.28341637E-001
103	7.34344937E-001
104	7.31034332E-001
105	7.55093934E-001
106	7.47653744E-001
107	8.21709428E-001
108	8.27206652E-001
109	8.63785986E-001
110	8.32752200E-001
111	7.98530401E-001
112	7.74312647E-001
113	8.14867211E-001
114	7.91321995E-001
115	8.07314401E-001
116	7.89450483E-001
117	7.97702829E-001
118	7.94575263E-001
119	7.93551009E-001
120	7.45082050E-001
121	7.68156490E-001
122	7.93835196E-001
123	8.19646093E-001
124	7.75679916E-001
125	7.30427354E-001
126	7.32895572E-001
127	7.67012603E-001
128	7.63469793E-001
129	7.71621416E-001
130	8.05083130E-001
131	8.37132547E-001
