sweep	g1
1	0.00000000E+000
2	6.61176742E+000
3	9.29017692E+000
4	2.32026581E+001
5	2.77576008E+001
6	2.86592203E+001
7	2.08262060E+001
8	2.78314267E+001
9	2.15027556E+001
10	2.60315610E+001
11	3.51209956E+001
12	3.84499893E+001
13	4.16953048E+001
14	4.67809511E+001
15	5.16569372E+001
16	3.21411856E+001
17	4.07319284E+001
18	3.71189341E+001
19	4.43511939E+001
20	5.32335550E+001
21	4.06661560E+001
22	5.00354520E+001
23	4.94016205E+001
24	5.59353500E+001
25	7.29296779E+001
26	7.92652883E+001
27	8.43463429E+001
28	6.47525005E+001
29	7.11912647E+001
30	6.81573515E+001
31	6.90689486E+001
32	8.38726758E+001
33	7.78791245E+001
34	9.77358503E+001
35	8.23516450E+001
36	8.67066162E+001
37	1.00451644E+002
38	1.01660800E+002
39	9.70828806E+001
40	9.41910320E+001
41	9.37343708E+001
42	1.08453243E+002
43	9.70243785E+001
44	1.14186006E+002
45	1.07140876E+002
46	1.09356719E+002
47	1.23413759E+002
48	1.01246787E+002
49	1.25560682E+002
50	1.27416657E+002
51	1.43731274E+002
52	1.50321109E+002
53	1.44460540E+002
54	1.34019535E+002
55	1.29234312E+002
56	1.17085813E+002
57	1.33899679E+002
58	1.14594524E+002
59	1.15443924E+002
60	1.30344926E+002
61	1.25856516E+002
62	1.19641929E+002
63	9.77430500E+001
64	1.10822359E+002
65	1.05268304E+002
66	1.09406027E+002
67	1.14547811E+002
68	1.18944852E+002
69	1.20767611E+002
70	1.15426824E+002
71	1.38120489E+002
72	1.39706467E+002
73	1.50719399E+002
74	1.36179084E+002
75	1.51236530E+002
76	1.42449079E+002
77	1.51435811E+002
78	1.58339981E+002
79	1.68785486E+002
80	1.55385235E+002
81	1.58638602E+002
82	1.50214718E+002
83	1.30768859E+002
84	1.51169249E+002
85	1.66375415E+002
86	1.68071393E+002
87	1.81690378E+002
88	1.45598154E+002
89	1.33912210E+002
90	1.49876050E+002
91	1.82724274E+002
92	1.60495921E+002
93	1.71853803E+002
