sweep	g_CM
1	0.00000000E+000
2	8.69204280E+000
3	1.55218397E+001
4	1.78023524E+001
5	1.49201921E+001
6	2.69087354E+001
7	2.27251075E+001
8	1.88358141E+001
9	2.05943694E+001
10	2.81650604E+001
11	2.80240732E+001
12	3.01005022E+001
13	2.87695103E+001
14	3.37561629E+001
15	3.17096362E+001
16	3.43716089E+001
17	3.78651433E+001
18	3.66225953E+001
19	3.81850669E+001
20	4.32372438E+001
21	3.38524193E+001
22	3.97925540E+001
23	3.41513791E+001
24	3.44176001E+001
25	2.67782024E+001
26	3.14223443E+001
27	2.49889629E+001
28	2.71988755E+001
29	2.71590816E+001
30	2.97645932E+001
31	3.15134765E+001
32	3.43605208E+001
33	3.08841878E+001
34	2.83566600E+001
35	2.94279213E+001
36	2.78711987E+001
37	3.32182552E+001
38	2.96005746E+001
39	3.30001800E+001
40	3.30822405E+001
41	3.11041660E+001
42	3.04383396E+001
43	3.23530699E+001
44	3.65229874E+001
45	3.72185687E+001
46	3.07328895E+001
47	3.97858751E+001
48	3.52712964E+001
49	4.01301403E+001
50	3.60764564E+001
51	4.07674927E+001
52	3.79278020E+001
53	4.89355124E+001
54	4.54979705E+001
55	4.10770300E+001
56	4.14922473E+001
57	3.93391035E+001
58	3.78139255E+001
59	3.10835102E+001
60	3.09736715E+001
61	3.79419067E+001
62	4.01761051E+001
63	3.28462453E+001
64	3.73886835E+001
65	3.49690530E+001
66	4.04687978E+001
67	3.39456008E+001
68	4.05146749E+001
69	4.29970504E+001
70	4.45840814E+001
71	5.39806615E+001
72	5.95506236E+001
73	5.36175796E+001
74	4.71390030E+001
75	4.45482363E+001
76	4.83285627E+001
77	4.31471527E+001
78	4.51659633E+001
79	4.93029139E+001
80	4.30706924E+001
81	4.38187541E+001
82	5.52618171E+001
83	4.27685235E+001
84	4.30955593E+001
85	4.76394983E+001
86	5.56866125E+001
87	5.56637656E+001
88	4.55340209E+001
89	4.92894851E+001
90	5.00228728E+001
91	5.58778372E+001
92	4.91134985E+001
93	4.28766164E+001
94	4.34641899E+001
95	4.45231737E+001
96	4.51432154E+001
97	4.67912668E+001
98	3.97636640E+001
99	3.69196501E+001
100	4.63597644E+001
101	4.53799844E+001
102	4.83626929E+001
103	4.70163141E+001
104	3.83924758E+001
105	3.78758233E+001
106	4.98696651E+001
107	4.54656218E+001
108	4.96355454E+001
109	5.76471409E+001
110	5.19327019E+001
111	5.17685299E+001
112	5.97406028E+001
113	5.35214832E+001
114	5.45616706E+001
115	5.67793994E+001
116	6.04690235E+001
117	5.84471977E+001
118	5.81372139E+001
119	5.38499343E+001
120	6.79055607E+001
121	6.56984621E+001
122	5.45076479E+001
123	5.70575771E+001
124	5.71512199E+001
125	6.72648516E+001
126	7.20326383E+001
127	7.72274649E+001
128	6.80649424E+001
129	7.77128663E+001
130	7.02156504E+001
131	7.99847133E+001
132	7.51400148E+001
133	7.25638652E+001
134	7.08563724E+001
135	6.93282526E+001
136	7.53784373E+001
137	7.88068789E+001
138	8.06110474E+001
139	8.74652310E+001
140	7.55071216E+001
141	8.31031244E+001
142	7.77310450E+001
143	7.56258252E+001
144	7.36983281E+001
145	7.01266863E+001
146	7.29985681E+001
147	7.55402774E+001
148	7.92178848E+001
149	7.34243662E+001
150	7.01043116E+001
151	8.29772231E+001
152	7.80926374E+001
153	8.20891459E+001
154	8.29094053E+001
155	8.38200950E+001
156	8.62071257E+001
157	8.12955039E+001
158	7.52570692E+001
159	7.18697824E+001
160	7.78231642E+001
161	8.42522571E+001
162	8.23603202E+001
163	8.44532268E+001
164	8.45493421E+001
165	8.52629962E+001
166	8.51095180E+001
167	8.12688357E+001
168	7.79926423E+001
169	8.62598888E+001
170	7.60164928E+001
171	7.68526157E+001
172	7.26592510E+001
173	7.69212760E+001
174	8.17378589E+001
175	7.73187065E+001
176	9.42415898E+001
177	8.45479552E+001
178	8.67976880E+001
179	8.17098656E+001
180	8.14355393E+001
181	7.94289840E+001
182	8.56083666E+001
183	8.63019905E+001
184	7.91528688E+001
185	7.83388404E+001
186	8.01910244E+001
187	8.55035863E+001
188	8.94982632E+001
189	7.90646376E+001
190	8.44039345E+001
191	8.71809811E+001
192	9.03418544E+001
193	9.02890324E+001
194	8.32614876E+001
195	9.31621011E+001
196	9.26242058E+001
197	9.06816565E+001
198	9.05318987E+001
199	9.15547901E+001
200	8.98788910E+001
201	8.08071976E+001
202	8.62938131E+001
203	8.64454997E+001
204	8.81813806E+001
205	9.02728968E+001
206	9.03666406E+001
207	9.87304724E+001
208	9.78136007E+001
209	8.41251153E+001
210	8.16085387E+001
211	9.67518642E+001
212	9.43879366E+001
213	8.51342463E+001
214	9.65602185E+001
215	9.36290404E+001
216	9.20151637E+001
217	8.64209666E+001
218	8.73961545E+001
219	9.72381563E+001
220	9.90549966E+001
221	9.59301815E+001
222	9.27651998E+001
223	9.22194456E+001
224	9.93209333E+001
225	8.69002505E+001
226	9.19445238E+001
227	9.01645154E+001
228	8.49701529E+001
229	8.27526727E+001
230	8.82116714E+001
231	7.91417186E+001
232	7.79357122E+001
233	7.90193821E+001
234	8.56746751E+001
235	1.00094059E+002
236	1.00968651E+002
237	1.04824194E+002
238	9.26860014E+001
239	9.26316992E+001
240	1.01788068E+002
241	1.03424344E+002
242	1.05880155E+002
243	1.01057168E+002
244	1.10419793E+002
245	9.27977734E+001
246	1.10118348E+002
247	9.88806074E+001
248	8.74734277E+001
249	8.48298606E+001
250	8.97386641E+001
251	7.63961229E+001
252	8.15353759E+001
253	8.68230988E+001
254	8.28450661E+001
255	7.94596584E+001
256	8.16105010E+001
257	8.39124678E+001
258	9.61834448E+001
259	9.06679906E+001
260	9.97340516E+001
261	9.21257978E+001
262	9.05922618E+001
263	8.57320879E+001
264	7.49976035E+001
265	8.69757637E+001
266	8.54415682E+001
267	8.55245068E+001
268	8.91396213E+001
269	8.34987337E+001
270	8.64778406E+001
271	7.99555839E+001
272	7.18306630E+001
273	7.22559855E+001
274	6.97118960E+001
275	7.02805911E+001
276	7.26324525E+001
277	7.39875581E+001
278	7.62522423E+001
279	8.08787612E+001
280	7.34329984E+001
281	8.06783943E+001
282	8.44469255E+001
283	8.34908874E+001
284	8.67244515E+001
285	7.98057536E+001
286	8.08272635E+001
287	8.52606320E+001
288	8.48412364E+001
289	8.29792744E+001
290	8.48644034E+001
291	8.77946293E+001
292	8.61838559E+001
293	8.96003189E+001
294	8.57498539E+001
295	9.49272365E+001
296	9.51614306E+001
297	9.73000543E+001
298	9.80398624E+001
299	1.01134660E+002
300	9.96074793E+001
301	9.14822256E+001
302	9.66036072E+001
303	9.84325832E+001
304	9.69352375E+001
305	9.52554652E+001
306	9.13540905E+001
307	9.35384548E+001
308	8.68928227E+001
309	9.32155087E+001
310	9.38718023E+001
311	9.19743406E+001
312	9.40059448E+001
313	8.62822166E+001
314	9.23344049E+001
315	9.14227997E+001
316	9.71682560E+001
317	1.02978906E+002
318	1.10083192E+002
319	1.08026777E+002
320	1.05129341E+002
321	1.08068829E+002
322	1.15516350E+002
323	1.20218251E+002
324	1.15837682E+002
325	1.09492443E+002
326	1.05177338E+002
327	1.11719878E+002
328	1.04119764E+002
329	1.09553220E+002
330	1.07122993E+002
331	1.07046327E+002
332	1.21578439E+002
333	1.14041419E+002
334	1.18411853E+002
335	1.21072242E+002
336	1.11463106E+002
337	1.22799628E+002
338	1.22235450E+002
339	1.30020763E+002
340	1.31697939E+002
341	1.19156101E+002
342	1.31891818E+002
343	1.37544072E+002
344	1.28810021E+002
345	1.25817392E+002
346	1.28551807E+002
347	1.17284759E+002
348	1.12503996E+002
349	1.14094659E+002
350	1.26404697E+002
351	1.36301784E+002
352	1.31751528E+002
353	1.31110759E+002
354	1.41518586E+002
355	1.41007943E+002
356	1.42814478E+002
357	1.23514327E+002
358	1.32879146E+002
359	1.14564637E+002
360	1.30283005E+002
361	1.20734395E+002
362	1.29751304E+002
363	1.34051789E+002
364	1.30723711E+002
365	1.43376345E+002
366	1.39078568E+002
367	1.42813602E+002
368	1.44586739E+002
369	1.31672100E+002
370	1.61451727E+002
371	1.49983750E+002
372	1.43043626E+002
373	1.27975909E+002
374	1.36876290E+002
375	1.31479726E+002
376	1.31649609E+002
377	1.23774317E+002
378	1.33162630E+002
379	1.36562000E+002
380	1.27552724E+002
381	1.26383834E+002
382	1.34893568E+002
383	1.30422068E+002
384	1.37039203E+002
385	1.36979560E+002
386	1.35218084E+002
387	1.32617457E+002
388	1.41426926E+002
389	1.18962759E+002
390	1.36930487E+002
391	1.35638526E+002
392	1.40084108E+002
393	1.38801503E+002
394	1.29889245E+002
395	1.36736251E+002
396	1.25390745E+002
397	1.33701837E+002
398	1.29267471E+002
399	1.20790684E+002
400	1.32456236E+002
401	1.27919479E+002
402	1.31883757E+002
403	1.49059840E+002
404	1.43158069E+002
405	1.22914996E+002
406	1.22266900E+002
407	1.25714934E+002
408	1.21638443E+002
409	1.21379644E+002
410	1.23158138E+002
411	1.24579809E+002
412	1.18470703E+002
413	1.31762490E+002
414	1.28017610E+002
415	1.38017999E+002
416	1.34824750E+002
417	1.29148968E+002
418	1.18488139E+002
419	1.15576012E+002
420	1.33655891E+002
421	1.24619068E+002
422	1.25886785E+002
423	1.19615555E+002
424	1.25967469E+002
425	1.45811998E+002
426	1.34717514E+002
427	1.30682851E+002
428	1.32347842E+002
429	1.36850379E+002
430	1.30365945E+002
431	1.38927495E+002
432	1.33523005E+002
433	1.23722256E+002
434	1.29190710E+002
435	1.31181916E+002
436	1.40028067E+002
437	1.23799482E+002
438	1.36391403E+002
439	1.46845501E+002
440	1.43177741E+002
441	1.43451900E+002
442	1.41202453E+002
443	1.33947965E+002
444	1.33080993E+002
445	1.26519820E+002
446	1.36527671E+002
447	1.22549484E+002
448	1.35792267E+002
449	1.36203745E+002
450	1.38883138E+002
451	1.38782906E+002
452	1.51565864E+002
453	1.44290821E+002
454	1.46643591E+002
455	1.60702930E+002
456	1.59256223E+002
457	1.52144330E+002
458	1.33758709E+002
459	1.40671813E+002
460	1.30969320E+002
461	1.35501883E+002
462	1.40940567E+002
463	1.38628838E+002
464	1.36242240E+002
465	1.45172774E+002
466	1.32050667E+002
467	1.29323135E+002
468	1.40115708E+002
469	1.28180627E+002
470	1.37708954E+002
471	1.35575137E+002
472	1.50218001E+002
473	1.53411513E+002
474	1.40731816E+002
475	1.66857636E+002
476	1.71997118E+002
477	1.53617842E+002
478	1.58885062E+002
479	1.66719348E+002
480	1.60598892E+002
481	1.54214337E+002
482	1.54721390E+002
483	1.63647283E+002
484	1.77758581E+002
485	1.77429437E+002
486	1.76038177E+002
487	1.68606456E+002
488	1.61283083E+002
489	1.60451569E+002
490	1.73806878E+002
491	1.82030330E+002
492	1.80237375E+002
493	1.86469256E+002
494	1.77759743E+002
495	1.72520222E+002
496	1.75618484E+002
497	1.78928697E+002
498	1.84985053E+002
499	1.94452548E+002
500	1.99460460E+002
501	1.87712010E+002
502	1.99353412E+002
503	2.09607340E+002
504	1.91842268E+002
505	2.05667047E+002
506	1.98675255E+002
507	1.84971072E+002
508	1.75260093E+002
509	1.89667090E+002
510	1.93055811E+002
511	1.85310265E+002
512	1.84732665E+002
513	2.03052215E+002
514	1.96100715E+002
515	1.71437846E+002
516	1.84434417E+002
517	1.86788442E+002
518	1.81771300E+002
519	1.85423939E+002
520	1.84255182E+002
521	1.92429037E+002
522	2.10144748E+002
523	2.25985038E+002
524	2.23649957E+002
525	2.22373898E+002
526	2.06886123E+002
527	1.90131248E+002
528	2.03573492E+002
529	2.01525648E+002
530	2.06550754E+002
531	1.93469286E+002
532	2.00205338E+002
533	1.84131946E+002
534	2.07393200E+002
535	1.86992595E+002
536	1.88968971E+002
537	2.08352141E+002
538	2.00875679E+002
539	2.09395586E+002
540	1.95607284E+002
541	1.87670443E+002
542	2.09505249E+002
543	2.03331739E+002
544	1.85548197E+002
545	1.91016225E+002
546	1.96138603E+002
547	2.07267176E+002
548	1.96138686E+002
549	2.05290759E+002
550	2.04732433E+002
551	1.81437036E+002
552	1.86436574E+002
553	2.00351223E+002
554	1.90980354E+002
555	1.90844309E+002
556	1.82649459E+002
557	1.91238023E+002
558	1.89845894E+002
559	2.04716328E+002
560	1.92510843E+002
561	1.87387046E+002
562	1.80571208E+002
563	1.99292624E+002
564	1.99786923E+002
565	1.91799102E+002
566	2.03267272E+002
567	2.04464606E+002
568	2.11163951E+002
569	1.72779525E+002
570	1.81598036E+002
571	2.15899973E+002
572	1.96212245E+002
573	2.11180652E+002
574	1.97283265E+002
575	1.92813764E+002
576	1.95622110E+002
577	2.04569299E+002
578	2.04143184E+002
579	2.04897639E+002
580	1.88059703E+002
581	2.16832284E+002
582	1.96250588E+002
583	1.90381068E+002
584	1.88446661E+002
